"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Ritz+Consultant+Psikologi+%28Praktek+Psikolog%29/data=!4m7!3m6!1s0x30403773973c9b6d:0x39929f76ccabe0d9!8m2!3d5.5809344!4d95.3576843!16s%2Fg%2F11hblsz49f!19sChIJbZs8l3M3QDAR2eCrzHafkjk?authuser=0&hl=id&rclk=1","Ritz Consultant Psikologi (Praktek Psikolog)","5,0","(41)","Psikolog","·","jalan tanggul krueng lamnyong No.33","Buka","· Tutup pukul 20.00","·","0811-6809-330","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recoment untuk yg mau konsultasi atau tes persiapan sekolah dll👍🤗""","","",""
"https://www.google.com/maps/place/Klinik+Psikologi+Seedtosparkle+%28Seedtosparkle+Psychological+Centre%29/data=!4m7!3m6!1s0x3040376a8d763613:0x96e47641e5951079!8m2!3d5.5716962!4d95.3487201!16s%2Fg%2F11l5v9rvvd!19sChIJEzZ2jWo3QDAReRCV5UF25JY?authuser=0&hl=id&rclk=1","Klinik Psikologi Seedtosparkle (Seedtosparkle Psychological Centre)","4,9","(76)","Psikolog","·","Jl. Prada Utama No.11","Tutup","· Buka Sen pukul 09.00","·","0811-6841-662","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Wow, benar-benar diatas ekspektasi, highly recommended!!""","https://www.instagram.com/yourpsychologist_firsta?igsh=OGFjdnZmaDZyaWNu&utm_source=qr","","Rute"
"https://www.google.com/maps/place/Sanubari+Psikologi+%28Praktik+Psikolog+Cut+Maghfirah+Faisal%29/data=!4m7!3m6!1s0x3040370080388897:0xb06c39c6eb39761b!8m2!3d5.54758!4d95.3239798!16s%2Fg%2F11rcqrwdh9!19sChIJl4g4gAA3QDARG3Y568Y5bLA?authuser=0&hl=id&rclk=1","Sanubari Psikologi (Praktik Psikolog Cut Maghfirah Faisal)","5,0","(51)","Psikolog","·","Jalan Taman Makam Pahlawan No.7","","","","0895-3411-74100","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan cukup baik.tempat nya nyaman.""","https://www.instagram.com/sanubari.psi/","","Rute"
"https://www.google.com/maps/place/Praktek+dr.+Cut+Nyak+Dian,+SpKJ/data=!4m7!3m6!1s0x3040373671d655fd:0x443b8093ab40485c!8m2!3d5.575382!4d95.3476316!16s%2Fg%2F11tp691m5c!19sChIJ_VXWcTY3QDARXEhAq5OAO0Q?authuser=0&hl=id&rclk=1","Praktek dr. Cut Nyak Dian, SpKJ","4,9","(27)","Rumah Sakit Jiwa","·","H8GX+532 Apotek ANDALUCIA, setelah SMEA PREMIUM, Jl. Teuku Nyak Arief","","","","0811-681-204","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Apoteknya rapi, bersih, nyaman dan pelayanannya sangat memuaskan""","","",""
"https://www.google.com/maps/place/Psikodista+Konsultan/data=!4m7!3m6!1s0x304039e28f339c69:0x671d8148f8c68b92!8m2!3d5.5437292!4d95.3361829!16s%2Fg%2F1pzsx9_ws!19sChIJaZwzj-I5QDARkovG-EiBHWc?authuser=0&hl=id&rclk=1","Psikodista Konsultan","4,6","(47)","Psikolog","·","JL. T. Imum Luengbata. 22 - 24","Tutup","· Buka Sen pukul 08.30","·","(0651) 26245","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada layanan konseling dan terapi","http://www.psikodista.com/","","Rute"
"https://www.google.com/maps/place/Praktek+Psikolog+Klinis+Anak+-+Scandic+Psycho+Consulting/data=!4m7!3m6!1s0x30403700108278eb:0xbe59750b48886df!8m2!3d5.5386851!4d95.3523827!16s%2Fg%2F11v_2g8jl6!19sChIJ63iCEAA3QDAR34aItFCX5Qs?authuser=0&hl=id&rclk=1","Praktek Psikolog Klinis Anak - Scandic Psycho Consulting","5,0","(18)","Psikoterapis","·","G9R4+8Q6, Jl. Peukan Blang 1","Buka","· Tutup pukul 17.00","·","0822-7557-3638","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih Pelayanan yg super ramah""","http://www.scandicconsulting.com/","","Rute"
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+Aceh/data=!4m7!3m6!1s0x30403bd296598891:0x9384579a66d223db!8m2!3d5.5328705!4d95.2977906!16s%2Fg%2F11pz7rbw21!19sChIJkYhZltI7QDAR2yPSZppXhJM?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia Cabang Aceh","5,0","(4)","Psikolog","·","G7MX+58J","","","","","","Rute","","","","",""
"https://www.google.com/maps/place/PRAKTEK+PSIKOLOG+Taifatul+Jannah,+M.Psi,+Psikolog/data=!4m7!3m6!1s0x3047772d781c8435:0x3d66c860a05f1ba1!8m2!3d5.2389315!4d97.0246188!16s%2Fg%2F11w1w4w_wx!19sChIJNYQceC13RzARoRtfoGDIZj0?authuser=0&hl=id&rclk=1","PRAKTEK PSIKOLOG Taifatul Jannah, M.Psi, Psikolog","5,0","(3)","Psikolog","·","Jl. Ramai - Krueng Geukuh Lorong Aman No.9","Buka","· Tutup pukul 14.00","·","0823-1536-9077","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","",""
