"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 4","W4Efsd 5","W4Efsd 6"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/AYSH+CLINIC+Lv.27+%E2%80%A2+The+Trauma+Specialist+%E2%80%A2+Klinik+Psikologi+dan+Hipnoterapi+Klinis/data=!4m7!3m6!1s0x2dd7d314ab36351d:0x4a95eaf2672e28a!8m2!3d-7.8081701!4d112.7389901!16s%2Fg%2F11c7t1rwzz!19sChIJHTU2qxTT1y0RiuJyJq9eqQQ?authuser=0&hl=id&rclk=1","AYSH CLINIC Lv.27 • The Trauma Specialist • Klinik Psikologi dan Hipnoterapi Klinis","5,0","(884)","Klinik Kesehatan Mental","Buka 24 jam","·","0821-3139-0009","https://youtube.com/channel/UCBMHiFRliQaLQYE-s130E5Q","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","",""
"https://www.google.com/maps/place/Psikolog+Profesional+Surabaya/data=!4m7!3m6!1s0x2dd7fd9891c7b1b3:0x189eb44e6adf31c4!8m2!3d-7.3140898!4d112.6789624!16s%2Fg%2F11s10xnnsc!19sChIJs7HHkZj91y0RxDHfak60nhg?authuser=0&hl=id&rclk=1","Psikolog Profesional Surabaya","4,8","(233)","Psikolog","Tutup","·","0812-3270-0729","http://www.psikologprofesionalsurabaya.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lumayan recommended buat yang punya trauma atau fobia tertentu.""","·","Boulevard Jl. Royal Residence No.B1, RW.19","· Buka pukul 10.00"
"https://www.google.com/maps/place/PSIKOLOG+KLINIS+MALANG+%28+Dr.+%28Cand%29+Tri+Wiganti+Andayani,+S.Psi.,+M.Psi.,+Psikolog%29+RUMAH+PSIKOLOGI+WIGANTI/data=!4m7!3m6!1s0x2e788319041d086f:0x2533f0812b4877e7!8m2!3d-7.9412059!4d112.5946721!16s%2Fg%2F11s92x15h8!19sChIJbwgdBBmDeC4R53dIK4HwMyU?authuser=0&hl=id&rclk=1","PSIKOLOG KLINIS MALANG ( Dr. (Cand) Tri Wiganti Andayani, S.Psi., M.Psi., Psikolog) RUMAH PSIKOLOGI WIGANTI","4,9","(36)","Psikolog","·","Jl. Joyo Grand Kav. Depag III No.10","0817-0519-030","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bu Tri sangat baik, Terapi yg diberikan sangat bermanfaat.""","Tutup","· Buka pukul 09.00","·"
"https://www.google.com/maps/place/Tulip+Psikologi+Malang/data=!4m7!3m6!1s0x2e7883a790923dd3:0x5dd9f80c676211cb!8m2!3d-7.9536065!4d112.6195926!16s%2Fg%2F11t9p6gslm!19sChIJ0z2SkKeDeC4RyxFiZwz42V0?authuser=0&hl=id&rclk=1","Tulip Psikologi Malang","4,9","(76)","Psikolog","·","Jl. Mayjend Panjaitan No.171","0852-3393-9329","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan konseling baik, bagus, ramah.""","","",""
"https://www.google.com/maps/place/PSIKOLOGI+KLINIS+MALANG+%22TRUST%22+MENTAL+HEALTH+CENTER/data=!4m7!3m6!1s0x2e7883f73d552541:0xf6eeedecaf1bd4ad!8m2!3d-7.9446763!4d112.6009224!16s%2Fg%2F11g_x7ckpd!19sChIJQSVVPfeDeC4RrdQbr-zt7vY?authuser=0&hl=id&rclk=1","PSIKOLOGI KLINIS MALANG ""TRUST"" MENTAL HEALTH CENTER","5,0","(210)","Psikolog","·","Jl. Joyo Utomo V Blk. F No.13, RT.07/RW.04","0813-3338-1308","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Tutup","· Buka Sen pukul 08.00","·"
"https://www.google.com/maps/place/Praktek+Bersama+Dokter+%26+Psikolog_dr.Ahmad+Hati+Nurwanto+%26+Dewi+Arum+Yonitri.,+S.Psi.,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e78fdb2d137b82d:0x8e6ee25fc1d151bb!8m2!3d-8.0162854!4d111.9080979!16s%2Fg%2F11qftjq2g7!19sChIJLbg30bL9eC4Ru1HRwV_ibo4?authuser=0&hl=id&rclk=1","Praktek Bersama Dokter & Psikolog_dr.Ahmad Hati Nurwanto & Dewi Arum Yonitri., S.Psi., M.Psi., Psikolog","5,0","(99)","Psikolog","Tutup","Jl. Imam Bonjol No.RT 001, RW.008","0851-8519-9323","https://www.instagram.com/dokpas_ahmad?igsh=a3p4emoxYmlzb2g1","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokternya baik dan sabar, pelayanan super baik, sangat recommended 👍🏽""","·","·","· Buka pukul 14.00"
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","Buka","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","","","·","·","· Tutup pukul 20.00"
"https://www.google.com/maps/place/Praktik+Psikolog+-+Klinik+Psikologi+Sinergia+Tulunggung/data=!4m7!3m6!1s0x2e78fd57f408e823:0x21cf37d618c4845b!8m2!3d-8.0398806!4d111.913888!16s%2Fg%2F11fk25hry_!19sChIJI-gI9Ff9eC4RW4TEGNY3zyE?authuser=0&hl=id&rclk=1","Praktik Psikolog - Klinik Psikologi Sinergia Tulunggung","5,0","(33)","Psikolog","·","Jl. Sultan Agung V desa No.5","0857-0750-3397","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... cepat, pengaturan jadwal bagus, tempat bersih,","Buka","· Tutup pukul 16.30","·"
