"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","UsdlK","Cw1rxd","R8c4Qb","W4Efsd 4","W4Efsd 5","W4Efsd 6","lcr4fd href","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","doJOZc"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Dian+Syafitrah/data=!4m7!3m6!1s0x2e258f1653baccc9:0x3960328b578a7a68!8m2!3d-1.6277317!4d103.6442672!16s%2Fg%2F11fn3_bhk6!19sChIJycy6UxaPJS4RaHqKV4syYDk?authuser=0&hl=id&rclk=1","Praktek Psikolog Dian Syafitrah","5,0","(3)","Psikolog","·","Jl. Ki Bajuri","0853-8186-0113","","Rute","","","","","","","","",""
"https://www.google.com/maps/place/Omah+Sejiwa/data=!4m7!3m6!1s0x2e258937c7242e03:0xca9a157c2b5897ce!8m2!3d-1.5957433!4d103.6093757!16s%2Fg%2F11m0rv_67j!19sChIJAy4kxzeJJS4RzpdYK3wVmso?authuser=0&hl=id&rclk=1","Omah Sejiwa","4,8","(12)","Psikolog","·","Jl. KH Ahmad Dahlan No.56","0853-6739-6748","","Situs Web","Tutup","· Buka Sen pukul 09.00","·","https://www.instagram.com/omah_sejiwa?igsh=MW1sN2pyeWFtbXdzdQ==","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk Psikolognya profesional sekali dalam membantu klien""",""
"https://www.google.com/maps/place/Klinik+Koseling+Umum+Jambi/data=!4m7!3m6!1s0x2e2589c996364b0d:0xecc58be2214db9f5!8m2!3d-1.5957105!4d103.5694859!16s%2Fg%2F11qmx92rh9!19sChIJDUs2lsmJJS4R9blNIeKLxew?authuser=0&hl=id&rclk=1","Klinik Koseling Umum Jambi","5,0","(3)","Jasa Konsultasi CV","·","·","0813-8486-7648","","Rute","Jl. Dr. Tazar No.107","Buka","· Tutup pukul 17.00","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/Biro+Psikologi+Talenta/data=!4m7!3m6!1s0x2e2588be2e37284d:0x59c8ddd62c08210f!8m2!3d-1.6127606!4d103.6149153!16s%2Fg%2F11cp5hg4h6!19sChIJTSg3Lr6IJS4RDyEILNbdyFk?authuser=0&hl=id&rclk=1","Biro Psikologi Talenta","4,8","(9)","Psikolog","·","Jl. H. Bumin Hasan No.40, RT.034","0811-7456-270","","Rute","·","Tutup","· Buka Sen pukul 08.00","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tapi overall sudah bagus.""",""
"https://www.google.com/maps/place/Praktik+Psikolog+Yashika+Angesti+Faradhiga+M.+Psi.,+Psikolog/data=!4m7!3m6!1s0x2e258f8a87683635:0x71069a840e5e021b!8m2!3d-1.6223982!4d103.6683531!16s%2Fg%2F11swmbm814!19sChIJNTZoh4qPJS4RGwJeDoSaBnE?authuser=0&hl=id&rclk=1","Praktik Psikolog Yashika Angesti Faradhiga M. Psi., Psikolog","5,0","(3)","Psikolog","·","·","0812-7834-8661","","Rute","Jalan Tri Jaya No.126 A, RT.01","","","","","","","Layanan di tempat",""
"https://www.google.com/maps/place/Praktek+Psikolog+Diah,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e258fcfd304f975:0xe67e7ea203e2662e!8m2!3d-1.6234901!4d103.6412145!16s%2Fg%2F11v0y5mq__!19sChIJdfkE08-PJS4RLmbiA6J-fuY?authuser=0&hl=id&rclk=1","Praktek Psikolog Diah, M.Psi., Psikolog","5,0","(9)","Psikolog","·","Jl. Iswahyudi No.114","0821-8443-3004","","Situs Web","Tutup","· Buka Jum pukul 19.00","·","https://linktr.ee/psikologdiah","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus sekali untuk yang mau tahu perkembangan anak bisa tes disini""",""
"https://www.google.com/maps/place/Klinik+Dr.+Asianto+Supargo/data=!4m7!3m6!1s0x2e2588da2f70f177:0xccf2ae61a02f596d!8m2!3d-1.596317!4d103.6224725!16s%2Fg%2F11cnbz97k6!19sChIJd_FwL9qIJS4RbVkvoGGu8sw?authuser=0&hl=id&rclk=1","Klinik Dr. Asianto Supargo","5,0","(9)","Psikiater","·","Jl. Pangeran Diponegoro","(0741) 23977","","Rute","·","Tutup","· Buka Sen pukul 16.00","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tante saya berobat ke dr.""",""
"https://www.google.com/maps/place/Poliklinik+Psikologi+RSJ+Daerah+Provinsi+Jambi/data=!4m7!3m6!1s0x2e2589001b157e1d:0x347a48491933da5e!8m2!3d-1.6142201!4d103.5520621!16s%2Fg%2F11w9nv0yky!19sChIJHX4VGwCJJS4RXtozGUlIejQ?authuser=0&hl=id&rclk=1","Poliklinik Psikologi RSJ Daerah Provinsi Jambi","5,0","(1)","Rumah Sakit Jiwa","·","9HP2+5JX","","","Rute","","","","","","","","",""
