"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Pontianak/data=!4m7!3m6!1s0x2e1d5988962916a7:0x1677c042761edddd!8m2!3d-0.0532879!4d109.3367971!16s%2Fg%2F11kb1xyx_9!19sChIJpxYplohZHS4R3d0edkLAdxY?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Pontianak","4,8","(10)","Psikolog","·","Ekoffie Office, Jl. Karya Baru Komplek, Taman Spain No.1","Buka","· Tutup pukul 23.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""""
"https://www.google.com/maps/place/PRAKTEK+PSIKOLOG+MANDIRI+DWI+SURYA+PURWANTI/data=!4m7!3m6!1s0x2e1d59d430a20cd1:0x5fd964a637263797!8m2!3d-0.0448994!4d109.3169195!16s%2Fg%2F11mp1w8ncr!19sChIJ0QyiMNRZHS4RlzcmN6Zk2V8?authuser=0&hl=id&rclk=1","PRAKTEK PSIKOLOG MANDIRI DWI SURYA PURWANTI","4,9","(137)","Psikolog","·","Alfamart, Jl. Dr. Sutomo samping No.72 - 73","Tutup","· Buka Sen pukul 09.00","·","0852-4662-8481","http://dwisuryapurwanti.wordpress.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Aku yg awalnya pemalu dan bingung sekarang mulai percaya diri."""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","http://thinkpluspsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍"""
"https://www.google.com/maps/place/Yayasan+Psikolog+Cahaya+Bunda+Balikpapan/data=!4m7!3m6!1s0x2df146e46d1cd7a1:0xb1854140a712d81f!8m2!3d-1.277655!4d116.8349238!16s%2Fg%2F1hm69x7q0!19sChIJodccbeRG8S0RH9gSp0BBhbE?authuser=0&hl=id&rclk=1","Yayasan Psikolog Cahaya Bunda Balikpapan","4,9","(62)","Klinik Kesehatan Mental","·","Jl. Jenderal Sudirman, Ruko Bandar No.Blok B14","Tutup","· Buka Sen pukul 08.00","·","0812-4107-2185","http://cahayabundabalikpapan.blogspot.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alhamdulillah setelah terapi disini, anak saya mengalami kemajuan."""
"https://www.google.com/maps/place/Klinik+Hipnoterapi+Keluarga+Resmi+KemenKes+RI+%26+MC+Profesional+dari+BNSP+RI+Terbaik+di+Balikpapan/data=!4m7!3m6!1s0x2df1475eae00f867:0x13890a4a26303280!8m2!3d-1.2618063!4d116.8622361!16s%2Fg%2F11rxzhny70!19sChIJZ_gArl5H8S0RgDIwJkoKiRM?authuser=0&hl=id&rclk=1","Klinik Hipnoterapi Keluarga Resmi KemenKes RI & MC Profesional dari BNSP RI Terbaik di Balikpapan","5,0","(70)","Layanan Hipnoterapi","·","·","Buka 24 jam","","Bahagia, Jl. Flamboyan No.11 D, RT.11","0812-2221-2479","https://hipnoterapi-balikpapan.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua perubahan berawal dari sini terimakasih Familly Hypnotherapy"""
"https://www.google.com/maps/place/dr.+Wilson,+Sp.KJ,+M.Kes+%28Dokter+Spesialis+Jiwa%2FPsikiater%29/data=!4m7!3m6!1s0x2e1d59007e99ffe1:0xa4f3df16a9260441!8m2!3d-0.0362868!4d109.3178944!16s%2Fg%2F11x11mf1t2!19sChIJ4f-ZfgBZHS4RQQQmqRbf86Q?authuser=0&hl=id&rclk=1","dr. Wilson, Sp.KJ, M.Kes (Dokter Spesialis Jiwa/Psikiater)","5,0","(41)","Psikiater","·","Jl. Pangeran Natakusuma No.159","Tutup","· Buka Sen pukul 17.00","·","0858-4585-0118","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan dokternya baik dan tempat prakteknya mantap"""
"https://www.google.com/maps/place/Maria+Nofaola,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e1d59050ed5cf59:0x60e16fc4dd5ed502!8m2!3d-0.0505089!4d109.317812!16s%2Fg%2F11jnqwr1ht!19sChIJWc_VDgVZHS4RAtVe3cRv4WA?authuser=0&hl=id&rclk=1","Maria Nofaola, M.Psi., Psikolog","4,8","(21)","Psikolog","·","Jl. Prof. M.Yamin Gg. Uray Hamid No.42","","","","0858-4968-7119","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sy sangat terbantu sekali setelah sharing dengan bu Maria."""
