"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 4","W4Efsd 5","W4Efsd 6","lcr4fd href","Cw1rxd 2","R8c4Qb 2","e4rVHe"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Jakarta/data=!4m7!3m6!1s0x2dfcb2fb8ed9bf59:0xcdf8b75e555103a1!8m2!3d-2.219192!4d113.9124194!16s%2Fg%2F11fmdl0pxk!19sChIJWb_Zjvuy_C0RoQNRVV63-M0?authuser=0&hl=id&rclk=1","Jakarta","4,5","(16)","Psikolog","·","Jl. G. Obos No.20","0896-3507-8888","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Psikolognya enak 👍🏻 balik dari sini badanku enteng dan tidur pulas.""","","","","","","",""
"https://www.google.com/maps/place/Praktik+Psikolog+SARAH/data=!4m7!3m6!1s0x2dfcb354acafaaa3:0x68d1858c838c937c!8m2!3d-2.1957314!4d113.8899538!16s%2Fg%2F11t59x5trq!19sChIJo6qvrFSz_C0RfJOMg4yF0Wg?authuser=0&hl=id&rclk=1","Praktik Psikolog SARAH","5,0","(8)","Psikolog","·","Jl. Garuda V No.12 A","0812-5311-3042","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tes minat bakat, konseling keluarga dan assesment anak tersedia disini.""","Tutup","· Buka Sen pukul 17.30","·","","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","0812-1345-8601","","Situs Web","","","Buka","· Tutup pukul 20.00","·","https://praktekpsikolog.com/","","Rute",""
"https://www.google.com/maps/place/Praktik+Psikolog+Dwi+Purwaningsih/data=!4m7!3m6!1s0x2dfcb3001098633f:0x838ae6ae7df0fab7!8m2!3d-2.2266583!4d113.9258828!16s%2Fg%2F11n543rbp1!19sChIJP2OYEACz_C0Rt_rwfa7mioM?authuser=0&hl=id&rclk=1","Praktik Psikolog Dwi Purwaningsih","5,0","(20)","Psikolog","·","Jl. Antang Kalang No.46","0898-5065-883","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat di rekomendasikan untuk yg ingin konsultasi mental bagus bangetttt""","Tutup","· Buka pukul 14.00","·","https://lynk.id/layananpsikologidp","","Rute",""
"https://www.google.com/maps/place/Psikolog+dan+Hipnoterapi+Sampit+%28Konsep+Jiwa%29/data=!4m7!3m6!1s0x2de2bf000e0ba82b:0x3c99abdc8b444ae3!8m2!3d-2.5544153!4d112.9447931!16s%2Fg%2F11wr3ysypv!19sChIJK6gLDgC_4i0R40pEi9yrmTw?authuser=0&hl=id&rclk=1","Psikolog dan Hipnoterapi Sampit (Konsep Jiwa)","5,0","(40)","Psikolog","·","Jl. Manggis 5B","0858-6684-0319","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan nya memuaskan dan sangat membantu, terimakasih konsep jiwa..👍🏻""","Buka","· Tutup pukul 21.00","·","https://taplink.cc/konsepjiwa","","Rute",""
"https://www.google.com/maps/place/Praktik+Psikolog+-+Serena+Mind+Center/data=!4m7!3m6!1s0x2e08eff518d2da85:0x1356c3ae9ab19566!8m2!3d-2.6667101!4d111.6580414!16s%2Fg%2F11ms7kccb3!19sChIJhdrSGPXvCC4RZpWxmq7DVhM?authuser=0&hl=id&rclk=1","Praktik Psikolog - Serena Mind Center","5,0","(10)","Psikolog","·","Jl. Ahmad Yani No.KM 3, RW.5","0822-5192-2464","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Silahkan mampir di tempat praktik","Tutup","· Buka Sen pukul 08.00","·","","","",""
"https://www.google.com/maps/place/Teras+Relasi+Psikologi/data=!4m7!3m6!1s0x2dfcb3006801118d:0x2d9364c463d67ec8!8m2!3d-2.2275436!4d113.9222772!16s%2Fg%2F11ysqhps9q!19sChIJjREBaACz_C0RyH7WY8Rkky0?authuser=0&hl=id&rclk=1","Teras Relasi Psikologi","5,0","(9)","Psikolog","·","Jl. P. Junjung Buih II No.20","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat anak belajar (terapi) sambil bermain dalam aturan""","Buka","· Tutup pukul 22.00","","","","",""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","0853-4625-5395","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍""","Buka","· Tutup pukul 17.00","·","http://thinkpluspsikologi.com/","","Rute",""
