"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Quadra+Sinergi+Consulting/data=!4m7!3m6!1s0x2df1479e57fd7aad:0x7483bdc1df53aaa0!8m2!3d-1.2336482!4d116.8709957!16s%2Fg%2F11j6z_t8dh!19sChIJrXr9V55H8S0RoKpT38G9g3Q?authuser=0&hl=id&rclk=1","Quadra Sinergi Consulting","4,8","(26)","Psikolog","·","Cluster Borneo Hills, Taman Sari Bukit Mutiara (WIKA BR 6 No.13","Buka","· Tutup pukul 16.00","·","0811-4443-000","http://quadrasinergi.wixsite.com/quadrasinergi","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat untuk mengembangkan potensi diri secara maksimal..."""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Praktek+Psikolog/data=!4m7!3m6!1s0x2de539c5523d2837:0xf9ccf5ef365453b3!8m2!3d-2.4059849!4d115.2458742!16s%2Fg%2F11q8g_4_h6!19sChIJNyg9UsU55S0Rs1NUNu_1zPk?authuser=0&hl=id&rclk=1","Praktek Psikolog","5,0","(7)","Psikolog","·","Jl. Kebayuran","Buka","· Tutup pukul 17.00","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ada nomor telpon yang bisa dihubungi buat mengatur jadwal??"""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","http://thinkpluspsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍"""
"https://www.google.com/maps/place/Yayasan+Psikolog+Cahaya+Bunda+Balikpapan/data=!4m7!3m6!1s0x2df146e46d1cd7a1:0xb1854140a712d81f!8m2!3d-1.277655!4d116.8349238!16s%2Fg%2F1hm69x7q0!19sChIJodccbeRG8S0RH9gSp0BBhbE?authuser=0&hl=id&rclk=1","Yayasan Psikolog Cahaya Bunda Balikpapan","4,9","(62)","Klinik Kesehatan Mental","·","Jl. Jenderal Sudirman, Ruko Bandar No.Blok B14","Tutup","· Buka Sen pukul 08.00","·","0812-4107-2185","http://cahayabundabalikpapan.blogspot.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alhamdulillah setelah terapi disini, anak saya mengalami kemajuan."""
"https://www.google.com/maps/place/Klinik+Hipnoterapi+Keluarga+Resmi+KemenKes+RI+%26+MC+Profesional+dari+BNSP+RI+Terbaik+di+Balikpapan/data=!4m7!3m6!1s0x2df1475eae00f867:0x13890a4a26303280!8m2!3d-1.2618063!4d116.8622361!16s%2Fg%2F11rxzhny70!19sChIJZ_gArl5H8S0RgDIwJkoKiRM?authuser=0&hl=id&rclk=1","Klinik Hipnoterapi Keluarga Resmi KemenKes RI & MC Profesional dari BNSP RI Terbaik di Balikpapan","5,0","(70)","Layanan Hipnoterapi","·","·","Buka 24 jam","","Bahagia, Jl. Flamboyan No.11 D, RT.11","0812-2221-2479","https://hipnoterapi-balikpapan.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua perubahan berawal dari sini terimakasih Familly Hypnotherapy"""
"https://www.google.com/maps/place/Klinik+Psikologi+PCC+%28Psychological+Comfort+Center%29/data=!4m7!3m6!1s0x2df1493adfbacf27:0xc70a760db41948f!8m2!3d-1.1979188!4d116.8506467!16s%2Fg%2F11s2j1k_gc!19sChIJJ8-63zpJ8S0Rj5RB22CncAw?authuser=0&hl=id&rclk=1","Klinik Psikologi PCC (Psychological Comfort Center)","","","Klinik Pengajaran Psikologi","·","Perumahan Graha Indah, Blk. J No.13, Rt 04","Tutup","· Buka Sen pukul 17.00","·","0819-4530-0004","","","Rute","","","",""
"https://www.google.com/maps/place/YOUNG+GENERATION+CENTER+%28+Layanan+Psikologi+dan+Terapi+Tumbuh+Kembang+Anak%29/data=!4m7!3m6!1s0x2df1470020c33455:0xc06a48408e2eaf3e!8m2!3d-1.2386935!4d116.8526348!16s%2Fg%2F11ym2vbjq2!19sChIJVTTDIABH8S0RPq8ujkBIasA?authuser=0&hl=id&rclk=1","YOUNG GENERATION CENTER ( Layanan Psikologi dan Terapi Tumbuh Kembang Anak)","4,9","(16)","Psikolog Anak","·","QV63+G3C, Jl. DI. Panjaitan","Tutup","· Buka Sen pukul 09.00","·","0851-3888-2995","https://www.instagram.com/younggeneration.center?igsh=MW16cWc3bGlpbTRzdQ==","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terapis ramah,sabar,pelayanan bagus."""
"https://www.google.com/maps/place/Praktek+Psikolog+%22KIRANA+HATI%22/data=!4m7!3m6!1s0x32138b1d1c93bb4b:0x32fce407b1322c6a!8m2!3d3.3135411!4d117.5789002!16s%2Fg%2F11pz017dy7!19sChIJS7uTHB2LEzIRaiwysQfk_DI?authuser=0&hl=id&rclk=1","Praktek Psikolog ""KIRANA HATI""","5,0","(3)","Psikoterapis","·","8H7H+CHF","Tutup","· Buka Sel pukul 19.00","","","","","Rute","","","",""
"https://www.google.com/maps/place/Yayasan+Psikologi+Clarinta,+Klinik+Psikologi+Anak+dan+Keluarga+%28ABK%29/data=!4m7!3m6!1s0x2df147a47b6be1bd:0xac3efb067b4f3aca!8m2!3d-1.2216505!4d116.8428112!16s%2Fg%2F11fcmvnsxy!19sChIJveFre6RH8S0RyjpPewb7Pqw?authuser=0&hl=id&rclk=1","Yayasan Psikologi Clarinta, Klinik Psikologi Anak dan Keluarga (ABK)","4,3","(6)","Psikolog","·","Pondok Anggun Kencana No.86, RT.09","Tutup","· Buka Sen pukul 08.00","·","0813-4739-8169","","","Rute","","","",""
