"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","http://thinkpluspsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍"""
"https://www.google.com/maps/place/Yayasan+Psikolog+Cahaya+Bunda+Balikpapan/data=!4m7!3m6!1s0x2df146e46d1cd7a1:0xb1854140a712d81f!8m2!3d-1.277655!4d116.8349238!16s%2Fg%2F1hm69x7q0!19sChIJodccbeRG8S0RH9gSp0BBhbE?authuser=0&hl=id&rclk=1","Yayasan Psikolog Cahaya Bunda Balikpapan","4,9","(62)","Klinik Kesehatan Mental","·","Jl. Jenderal Sudirman, Ruko Bandar No.Blok B14","Tutup","· Buka Sen pukul 08.00","·","0812-4107-2185","http://cahayabundabalikpapan.blogspot.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alhamdulillah setelah terapi disini, anak saya mengalami kemajuan."""
"https://www.google.com/maps/place/Karakter+Bina+Insani+%28Biro+Psikologi+Karakter%29,+Balikpapan/data=!4m7!3m6!1s0x2df1471fc54646d3:0xc92d3e4c97d0cfb4!8m2!3d-1.2692328!4d116.8427979!16s%2Fg%2F11cncc62gz!19sChIJ00ZGxR9H8S0RtM_Ql0w-Lck?authuser=0&hl=id&rclk=1","Karakter Bina Insani (Biro Psikologi Karakter), Balikpapan","4,7","(9)","Psikolog","·","·","Tutup","· Buka Sen pukul 08.00","Jl. Mayjend Sutoyo Jl. Bukit Sion No.99, RT.48","0813-5277-7270","https://www.instagram.com/karakterbinainsani/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Klinik+Hipnoterapi+Keluarga+Resmi+KemenKes+RI+%26+MC+Profesional+dari+BNSP+RI+Terbaik+di+Balikpapan/data=!4m7!3m6!1s0x2df1475eae00f867:0x13890a4a26303280!8m2!3d-1.2618063!4d116.8622361!16s%2Fg%2F11rxzhny70!19sChIJZ_gArl5H8S0RgDIwJkoKiRM?authuser=0&hl=id&rclk=1","Klinik Hipnoterapi Keluarga Resmi KemenKes RI & MC Profesional dari BNSP RI Terbaik di Balikpapan","5,0","(70)","Layanan Hipnoterapi","·","·","Buka 24 jam","","Bahagia, Jl. Flamboyan No.11 D, RT.11","0812-2221-2479","https://hipnoterapi-balikpapan.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua perubahan berawal dari sini terimakasih Familly Hypnotherapy"""
"https://www.google.com/maps/place/Quadra+Sinergi+Consulting/data=!4m7!3m6!1s0x2df1479e57fd7aad:0x7483bdc1df53aaa0!8m2!3d-1.2336482!4d116.8709957!16s%2Fg%2F11j6z_t8dh!19sChIJrXr9V55H8S0RoKpT38G9g3Q?authuser=0&hl=id&rclk=1","Quadra Sinergi Consulting","4,8","(26)","Psikolog","·","Cluster Borneo Hills, Taman Sari Bukit Mutiara (WIKA BR 6 No.13","Buka","· Tutup pukul 16.00","·","0811-4443-000","http://quadrasinergi.wixsite.com/quadrasinergi","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat untuk mengembangkan potensi diri secara maksimal..."""
"https://www.google.com/maps/place/KLINIK+PSIKOLOGI+DAN+KESEHATAN+SIM/data=!4m7!3m6!1s0x2df147002e5d036f:0xceb48fc80a62e6c5!8m2!3d-1.277409!4d116.834791!16s%2Fg%2F11z6gkgcwt!19sChIJbwNdLgBH8S0RxeZiCsiPtM4?authuser=0&hl=id&rclk=1","KLINIK PSIKOLOGI DAN KESEHATAN SIM","4,0","(1)","Klinik Medis","·","PRFM+3W6, Jl. Jenderal Sudirman, Ruko Bandar","","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Namun jika tidak ada bisa dibantu copy di sini."""
"https://www.google.com/maps/place/Propsychology+Psikologi+dan+Kesehatan+SIM+Balikpapan/data=!4m7!3m6!1s0x2df147ebcd0ca231:0x658faddca716090e!8m2!3d-1.277651!4d116.8349252!16s%2Fg%2F11tcwrxcv6!19sChIJMaIMzetH8S0RDgkWp9ytj2U?authuser=0&hl=id&rclk=1","Propsychology Psikologi dan Kesehatan SIM Balikpapan","5,0","(1)","Psikolog","·","Jl. Jenderal Sudirman, Ruko Bandar","Tutup","· Buka Sen pukul 07.30","·","0812-7076-1840","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya ramah"""
