"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Yurni,+M.Psi.,Psikolog/data=!4m7!3m6!1s0x2e40d00779604f53:0x97ecf3a56bbfe436!8m2!3d-5.3750383!4d105.2191674!16s%2Fg%2F11f2b0tr8_!19sChIJU09geQfQQC4RNuS_a6Xz7Jc?authuser=0&hl=id&rclk=1","Yurni, M.Psi.,Psikolog","5,0","(106)","Psikolog","·","Jl. Kepayang Jl. Cendana I No.16/33","Tutup","· Buka Sen pukul 14.00","·","0811-728-420","https://praktek-psikolog-yurni-mpsipsikolog.business.site/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat memuaskan, mendapat solusi yg terbaik stelah konsultasi"""
"https://www.google.com/maps/place/Praktek+Psikolog+Mandiri+%28Diah+Utaminingsih,+S.Psi.,+M.A.,+Psi.%29/data=!4m7!3m6!1s0x2e40dbe87913d49d:0x9f41707d09a6dfec!8m2!3d-5.4231515!4d105.2764353!16s%2Fg%2F11t31_6t_d!19sChIJndQTeejbQC4R7N-mCX1wQZ8?authuser=0&hl=id&rclk=1","Praktek Psikolog Mandiri (Diah Utaminingsih, S.Psi., M.A., Psi.)","5,0","(72)","Psikolog","·","Gg. Dewi Sri No.96","Tutup","· Buka Sen pukul 15.45","·","0812-7262-6858","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat rekomen untuk konseling dengan Ibu Diah."""
"https://www.google.com/maps/place/Praktik+Psikologi+Octa+Reni+Setiawati,+S.Psi.,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e40daade0d5d207:0x546239ea8fbeec0!8m2!3d-5.3721666!4d105.2295905!16s%2Fg%2F11f57cklsb!19sChIJB9LV4K3aQC4RwO77qJ4jRgU?authuser=0&hl=id&rclk=1","Praktik Psikologi Octa Reni Setiawati, S.Psi., M.Psi., Psikolog","4,6","(23)","Psikolog","·","Perumahan Bumi Puspa Kencana, Blk. E-D Jl. Pramuka No.3","Tutup","· Buka Sen pukul 09.00","·","0821-5113-0880","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baik, ramah, pelayanan sopan, dan tempat sangat nyaman"""
"https://www.google.com/maps/place/ANISA+Rumah+Psikologi/data=!4m7!3m6!1s0x2e40dbe0192b0f85:0x2d26533689b5ec97!8m2!3d-5.373172!4d105.2618925!16s%2Fg%2F11j1hs_tjz!19sChIJhQ8rGeDbQC4Rl-y1iTZTJi0?authuser=0&hl=id&rclk=1","ANISA Rumah Psikologi","4,7","(47)","Psikolog","·","Jl. Harapan No.20","Tutup","· Buka Sen pukul 10.00","·","0821-7719-8711","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan untuk dewasa dan anak lengkap dari konseling sampe psikotes."""
"https://www.google.com/maps/place/Klinik+Psikologi+UM+Lampung/data=!4m7!3m6!1s0x2e40db0007ba7905:0xe0162922d76aded7!8m2!3d-5.3801393!4d105.3105295!16s%2Fg%2F11wvy91qxn!19sChIJBXm6BwDbQC4R195q1yIpFuA?authuser=0&hl=id&rclk=1","Klinik Psikologi UM Lampung","5,0","(28)","Psikolog","·","Jl. Prof. Dr. Hamka","Tutup","· Buka Sen pukul 09.00","·","0822-7896-8901","https://www.instagram.com/fakultas_psikologi/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan baikk ramah rekomendasi untuk tes"""
"https://www.google.com/maps/place/Psikolog+Klinis+Elsy+%28ZaHa+Foundation+Indonesia%29/data=!4m7!3m6!1s0x2e40dbe5c3ce203f:0x88026ebd4f8b9e3b!8m2!3d-5.3870161!4d105.282333!16s%2Fg%2F11rycp662l!19sChIJPyDOw-XbQC4RO56LT71uAog?authuser=0&hl=id&rclk=1","Psikolog Klinis Elsy (ZaHa Foundation Indonesia)","5,0","(2)","Psikolog","·","Jl. Agatis Blok TA.1 No.5","Buka","· Tutup pukul 12.00","·","0858-3214-1058","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Baik ramah nyaman"""
"https://www.google.com/maps/place/Praktek+Psikolog+Biro+Psikologi+Tentrem+Hati/data=!4m7!3m6!1s0x2e40dbe5c15a814f:0x95af0b46194a74bf!8m2!3d-5.4307357!4d105.2535686!16s%2Fg%2F11jpdpqfsz!19sChIJT4FaweXbQC4Rv3RKGUYLr5U?authuser=0&hl=id&rclk=1","Praktek Psikolog Biro Psikologi Tentrem Hati","5,0","(6)","Psikolog","·","Jl. Wolter Monginsidi No.156a LT. 2","","","","0811-7900-071","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mau tanya konsultasi nya bayar brp ya?"""
"https://www.google.com/maps/place/Klinik+Psikologi+Rumah+ASA/data=!4m7!3m6!1s0x2e40db26e8d4d1a1:0xd2e3ef6e4d7c8e67!8m2!3d-5.3850477!4d105.238844!16s%2Fg%2F11v41dsjt6!19sChIJodHU6CbbQC4RZ458TW7v49I?authuser=0&hl=id&rclk=1","Klinik Psikologi Rumah ASA","5,0","(1)","Psikolog","·","Perum Griya Sejahtera No.5 Blk E","Buka","· Tutup pukul 16.00","·","0813-3953-4208","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Admin utk booking jg fast respon dan ramah."""
