"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Bale+Psikologi/data=!4m7!3m6!1s0x2dcc4f8609b8435f:0xf201af86878762a7!8m2!3d-8.6480152!4d116.5262464!16s%2Fg%2F11h3dkjhl3!19sChIJX0O4CYZPzC0Rp2KHh4avAfI?authuser=0&hl=id&rclk=1","Bale Psikologi","4,9","(17)","Psikolog","·","Jl. Prof. Soepomo No.18","Buka","· Tutup pukul 16.00","·","0878-5444-1946","https://balepsikologi.wixsite.com/balepsikologi","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan yang ramah serta profesional."""
"https://www.google.com/maps/place/Biro+Dinamika+Psikologis+Mataram+Lombok+NTB+-+Psikolog+Klinis+Profesional+Mataram+Lombok+NTB/data=!4m7!3m6!1s0x2dcdbf26fab084e7:0x4b1f8c332ce9e3f9!8m2!3d-8.6168932!4d116.0972705!16s%2Fg%2F11l6r9l0cf!19sChIJ54Sw-ia_zS0R-ePpLDOMH0s?authuser=0&hl=id&rclk=1","Biro Dinamika Psikologis Mataram Lombok NTB - Psikolog Klinis Profesional Mataram Lombok NTB","4,9","(132)","Psikolog","·","·","Depan Kava Kafe, Grand Lingkar, Ruko Perumahan No.mor 9","Tutup","· Buka Sen pukul 14.00","0819-9123-4563","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk psikotesnya tolong disiapkan materinya terlebih dahulu."""
"https://www.google.com/maps/place/Praktek+Psikiater+%28Spesialis+Kedokteran+Jiwa%29+Kota+Mataram+NTB/data=!4m7!3m6!1s0x2dcdc1da31c09c3b:0xe2f9be4b0a67f496!8m2!3d-8.5871579!4d116.1234438!16s%2Fg%2F11gjnrvnkc!19sChIJO5zAMdrBzS0RlvRnCku--eI?authuser=0&hl=id&rclk=1","Praktek Psikiater (Spesialis Kedokteran Jiwa) Kota Mataram NTB","4,9","(12)","Jasa Medis Lokal","·","RS Risa Sentra Medika, Jl. Pejanggik No.115","·","Tutup","· Buka Sen pukul 16.00","0819-9325-5000","","","Rute","","","",""
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+Mataram/data=!4m7!3m6!1s0x2dcdc1007d26471d:0x435b41debeabcca!8m2!3d-8.5649119!4d116.0960377!16s%2Fg%2F11xt21plrs!19sChIJHUcmfQDBzS0Ryrzq6x20NQQ?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia Cabang Mataram","5,0","(1)","Psikolog","·","Jl. Adi Sucipto","Buka","· Tutup pukul 23.00","·","0878-8718-4585","http://praktekpsikolog.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan bagus baik nyaman"
"https://www.google.com/maps/place/Biro+Psikologi+Genetiga+Mental+Care/data=!4m7!3m6!1s0x2dcdb9b5cafb0fd3:0xe63add34085ad17b!8m2!3d-8.6435468!4d116.2293912!16s%2Fg%2F11t6ywj5sz!19sChIJ0w_7yrW5zS0Re9FaCDTdOuY?authuser=0&hl=id&rclk=1","Biro Psikologi Genetiga Mental Care","4,9","(33)","Psikolog","·","Depan Kantor Kepala Desa, Dalam","Tutup","· Buka pukul 17.00","·","0878-6113-1295","https://www.instagram.com/genetiga.mentalcare/?hl=id","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alhamdulillah enak banget konsul disini dan penjelasannya detail banget."""
"https://www.google.com/maps/place/Biro+Psikologi+KATARSIS+%28psikolog+Drs.+H.+Syamsul+Buhari.,M.Kes%29/data=!4m7!3m6!1s0x2dcdc0a0c9336e6f:0x404de44ee34d3208!8m2!3d-8.5506798!4d116.0873481!16s%2Fg%2F1pzqvbf8w!19sChIJb24zyaDAzS0RCDJN407kTUA?authuser=0&hl=id&rclk=1","Biro Psikologi KATARSIS (psikolog Drs. H. Syamsul Buhari.,M.Kes)","5,0","(1)","Psikolog","·","Perum Elit Rinjani Asri IA/4","·","Tutup","· Buka Sen pukul 09.00","0818-0526-9712","","","Rute","","","",""
"https://www.google.com/maps/place/Harmony+Kids+%26+Psikologi+Center/data=!4m7!3m6!1s0x2dcdbf9f213fadd1:0xa8b9127a1c356e37!8m2!3d-8.6169168!4d116.1007951!16s%2Fg%2F11t_tp4km2!19sChIJ0a0_IZ-_zS0RN241HHoSuag?authuser=0&hl=id&rclk=1","Harmony Kids & Psikologi Center","4,9","(58)","Psikolog","·","Perumahan Green Kodya Residence, Jl. Gajah Mada Blok J2","·","Tutup","· Buka Sen pukul 09.00","0896-6824-1468","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya bagus, ramah, dan juga ada tes iq, minat bakat"""
"https://www.google.com/maps/place/RHYS+PSIKOLOG+CABANG+LOMBOK+TIMUR/data=!4m7!3m6!1s0x2dcc4ffa19c301e1:0xab9d9e9505429151!8m2!3d-8.650349!4d116.5367322!16s%2Fg%2F11llg95h9b!19sChIJ4QHDGfpPzC0RUZFCBZWenas?authuser=0&hl=id&rclk=1","RHYS PSIKOLOG CABANG LOMBOK TIMUR","5,0","(2)","Psikolog","·","8GXP+VM9, Jl. TGH. Zainuddin Abdul Majid","·","Tutup","· Buka Sen pukul 08.00","0853-3739-4332","","","Rute","","","",""
"https://www.google.com/maps/place/Lembaga+Psikologi+dan+Tumbuh+Kembang+YARSI/data=!4m7!3m6!1s0x2dcdbfb623cab09d:0xaf4d1a27b66b71ca!8m2!3d-8.61693!4d116.1042276!16s%2Fg%2F11s5tzmpbp!19sChIJnbDKI7a_zS0RynFrticaTa8?authuser=0&hl=id&rclk=1","Lembaga Psikologi dan Tumbuh Kembang YARSI","5,0","(11)","Psikolog","·","94M3+6MH Ali Batu, Jl. TGH Mansyur Jl. Lingkar Selatan","·","Tutup","· Buka Sen pukul 09.00","0895-3846-26738","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""konseling anak dan remaja yang tempatnya sangat nyaman untuk anak"""
"https://www.google.com/maps/place/RHYS+PSIKOLOG+Cabang+Lombok+Barat/data=!4m7!3m6!1s0x2dcdbd359ad93c01:0x82087b3badf60c9f!8m2!3d-8.7047651!4d116.0882861!16s%2Fg%2F11qq2j9_7m!19sChIJATzZmjW9zS0Rnwz2rTt7CII?authuser=0&hl=id&rclk=1","RHYS PSIKOLOG Cabang Lombok Barat","5,0","(1)","Psikolog","·","73WQ+38V, JL. Raya","·","Tutup","· Buka Sen pukul 08.00","0853-3739-4332","","","Rute","","","",""
"https://www.google.com/maps/place/Psikologi+Rumah+Hijau+Consulting+%28RH+Consulting%29/data=!4m7!3m6!1s0x2dcdbfc5eb78fed9:0xeece6a58cdcf6655!8m2!3d-8.612264!4d116.107407!16s%2Fg%2F11h_3xvw64!19sChIJ2f5468W_zS0RVWbPzVhqzu4?authuser=0&hl=id&rclk=1","Psikologi Rumah Hijau Consulting (RH Consulting)","4,9","(49)","Psikolog","·","Jl. Batu Bolong No.54","·","Tutup","· Buka Sen pukul 08.00","0819-1745-7930","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... memuaskan Dan tempat mendukung until melakukan Tes"
"https://www.google.com/maps/place/ABIRA+Psikologi/data=!4m7!3m6!1s0x2dcdbf70eb3550f7:0x49452c9e3d68629b!8m2!3d-8.6117653!4d116.1305549!16s%2Fg%2F11thvtc7sl!19sChIJ91A163C_zS0Rm2JoPZ4sRUk?authuser=0&hl=id&rclk=1","ABIRA Psikologi","5,0","(82)","Psikolog","·","Jl. Prabu Rangkasari","·","Tutup","· Buka Sen pukul 08.00","0878-6435-3376","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat membantu dengan berbagai layanan konseling yang direkomendasikan."""
