"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktik+Psikolog+Riani+Dilianti+Ratu,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2c5683000cd0c28b:0xf9a9ed1bbbed1b50!8m2!3d-10.1617664!4d123.6229354!16s%2Fg%2F11x0npbh4y!19sChIJi8LQDACDViwRUBvtuxvtqfk?authuser=0&hl=id&rclk=1","Praktik Psikolog Riani Dilianti Ratu, M.Psi., Psikolog","5,0","(17)","Psikolog","·","RJQF+76M, Jl. Perintis Kemerdekaan I","Tutup","· Buka Sen pukul 17.00","·","0857-9154-9145","https://lynk.id/rianiratu","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menjadi ruang cerita yg nyaman,, bebas tanpa merasa di-judge."""
"https://www.google.com/maps/place/Yayasan+Benih+Sepe+Triel+Asri/data=!4m7!3m6!1s0x2c56837f745e0195:0x1efa9a123ece5f4!8m2!3d-10.1559682!4d123.6297111!16s%2Fg%2F11fsj85wvv!19sChIJlQFedH-DViwR9OXsI6Gp7wE?authuser=0&hl=id&rclk=1","Yayasan Benih Sepe Triel Asri","5,0","(46)","Klinik Medis","·","Unnamed Road","Tutup","· Buka Sen pukul 10.00","·","0858-0858-5688","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""semuanya bagus baik dari admin,"
"https://www.google.com/maps/place/Bale+Psikologi/data=!4m7!3m6!1s0x2dcc4f8609b8435f:0xf201af86878762a7!8m2!3d-8.6480152!4d116.5262464!16s%2Fg%2F11h3dkjhl3!19sChIJX0O4CYZPzC0Rp2KHh4avAfI?authuser=0&hl=id&rclk=1","Bale Psikologi","4,9","(17)","Psikolog","·","Jl. Prof. Soepomo No.18","Buka","· Tutup pukul 16.00","·","0878-5444-1946","https://balepsikologi.wixsite.com/balepsikologi","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan yang ramah serta profesional."""
"https://www.google.com/maps/place/Konsultan+Psikologi+MindCare/data=!4m7!3m6!1s0x2c569d0023d035ab:0x60a734f513305c15!8m2!3d-10.1575521!4d123.5964525!16s%2Fg%2F11yp26sz1p!19sChIJqzXQIwCdViwRFVwwE_U0p2A?authuser=0&hl=id&rclk=1","Konsultan Psikologi MindCare","4,2","(5)","Psikolog","·","Jl. Lontar","Buka","· Tutup pukul 20.00","·","0813-8232-6884","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended banget 🥰 sukses terus yaa kak titin dan tim mindcare!"""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Klinik+Utama+Jiwa+Dewanta+Mental+Healthcare+%28DMH%29/data=!4m7!3m6!1s0x2c569dab729e493f:0x9fd383e839611df9!8m2!3d-10.1520851!4d123.6047884!16s%2Fg%2F11j0rtnrgw!19sChIJP0mecqudViwR-R1hOeiD058?authuser=0&hl=id&rclk=1","Klinik Utama Jiwa Dewanta Mental Healthcare (DMH)","3,9","(16)","Klinik Spesialis","·","Jl. Ainiba","Buka 24 jam","","·","0812-3900-3006","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Para Mantri ama dokternya baik"" terbaik dah dalam melayani"""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","http://thinkpluspsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍"""
"https://www.google.com/maps/place/Konsultan+Psikologi+Tiara+Growth/data=!4m7!3m6!1s0x2c569b002d0ea5cf:0x6bd071853d0a4eb3!8m2!3d-10.1886964!4d123.5585018!16s%2Fg%2F11vx3j3142!19sChIJz6UOLQCbViwRs04KPYVx0Gs?authuser=0&hl=id&rclk=1","Konsultan Psikologi Tiara Growth","5,0","(1)","Psikolog","·","Jl. Banobe Raya Jl. Oeleta Raya No.5","Tutup","· Buka Sen pukul 17.00","·","0821-3814-5490","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokter sangat ramah dan baik"""
