"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Konsultasi+psikologi,+Hipnoterapi,+Psikiater+dr+I+Gusti+Rai+Wiguna+SpKJ/data=!4m7!3m6!1s0x2dd241dca969b8d3:0xdccdf3ca29323a98!8m2!3d-8.6738966!4d115.2178344!16s%2Fg%2F11fn4tp7rs!19sChIJ07hpqdxB0i0RmDoyKcrzzdw?authuser=0&hl=id&rclk=1","Konsultasi psikologi, Hipnoterapi, Psikiater dr I Gusti Rai Wiguna SpKJ","4,8","(172)","Psikiater","·","·","Jl. Jend. Sudirman No.1","Tutup","· Buka Sen pukul 14.00","0812-3900-8080","http://psikiaterbali.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good and Simple
Mengajarkan kita untuk menikmati hidup dengan cara simple"""
"https://www.google.com/maps/place/Dian+Selaras+Psikologi+%26+Hipnoterapi+Bali+%2F+Praktik+Psikologi+Mandiri/data=!4m7!3m6!1s0x2dd240f22b047959:0xb2dba08314aa290!8m2!3d-8.6752372!4d115.2270998!16s%2Fg%2F11cnd6wpkw!19sChIJWXkEK_JA0i0RkKJKMQi6LQs?authuser=0&hl=id&rclk=1","Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri","4,8","(46)","Psikolog","·","·","Jl. Tukad Gangga IV No.12-A","Tutup","· Buka Sen pukul 08.00","0812-3711-5409","https://www.dianselaraspsikologibali.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""sangat happy untuk bisa berkonsultasi dengan"
"https://www.google.com/maps/place/Teduh+Jiwa+Psikologi+Bali,+psikolog+I+Gusti+Agung+Ayu+Yunita+Utami/data=!4m7!3m6!1s0x2dd23fe177a02aef:0xf795c4358f4dc26!8m2!3d-8.6693486!4d115.2508586!16s%2Fg%2F11tmtplvy9!19sChIJ7yqgd-E_0i0RJtz0WENceQ8?authuser=0&hl=id&rclk=1","Teduh Jiwa Psikologi Bali, psikolog I Gusti Agung Ayu Yunita Utami","4,6","(38)","Psikolog","·","Jl. Sedap Malam No.90","Tutup","· Buka pukul 11.00","·","0821-4491-6261","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat terapi disini sangat membantu untuk penyembuhan mental."""
"https://www.google.com/maps/place/Praktek+Psikolog+Evitasari+dan+Weni+Kumala/data=!4m7!3m6!1s0x2dd2413495f62fed:0x96cd03946f1f6c6d!8m2!3d-8.6818846!4d115.2105662!16s%2Fg%2F11fr4w4bgw!19sChIJ7S_2lTRB0i0RbWwfb5QDzZY?authuser=0&hl=id&rclk=1","Praktek Psikolog Evitasari dan Weni Kumala","5,0","(12)","Psikolog","·","Jl. Pulau Menjangan No.61x","·","Tutup","· Buka Sen pukul 15.00","0821-4464-9065","https://yubi.id/ppmevitaweni","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sy senang sekali dgn Kak Evita dan kak Weni."""
"https://www.google.com/maps/place/Klinik+Psikologi+Titut+Esti+Koeswardani+%7C+Bali+Empower/data=!4m7!3m6!1s0x2dd2416f9285cd03:0xcbd637ff088e6da9!8m2!3d-8.6772029!4d115.2360252!16s%2Fg%2F11ltswqhx8!19sChIJA82Fkm9B0i0RqW2OCP831ss?authuser=0&hl=id&rclk=1","Klinik Psikologi Titut Esti Koeswardani | Bali Empower","5,0","(144)","Psikolog","·","Apotik INDOBAT, Jl. Tukad Yeh Aya No.100","·","Buka","· Tutup pukul 22.00","0877-7743-0348","https://baliempower.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua dilakukan dengan cara baik dan professional, recommended"""
"https://www.google.com/maps/place/Biro+Psikologi+%26+Pusat+Tumbuh+Kembang+Anak+Pradnyagama/data=!4m7!3m6!1s0x2dd240f72ce5db31:0xaf55c2754b20b325!8m2!3d-8.676963!4d115.240499!16s%2Fg%2F1hm32rs51!19sChIJMdvlLPdA0i0RJbMgS3XCVa8?authuser=0&hl=id&rclk=1","Biro Psikologi & Pusat Tumbuh Kembang Anak Pradnyagama","4,7","(181)","Psikolog","·","Jl. Tukad Yeh Aya No.183","·","Tutup","· Buka Sen pukul 09.00","0857-3923-4234","https://psikologibali.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Benar-benar dibantu untuk menyelesaikan permasalah, sampai tuntas."""
"https://www.google.com/maps/place/Bali+Psikologi/data=!4m7!3m6!1s0x2dd2474e3a096fed:0x41efeb99d0702066!8m2!3d-8.6751468!4d115.1884351!16s%2Fg%2F11v4391qb6!19sChIJ7W8JOk5H0i0RZiBw0Jnr70E?authuser=0&hl=id&rclk=1","Bali Psikologi","4,9","(72)","Klinik Kesehatan Mental","·","Jl. Gunung Talang No.70","·","Tutup","· Buka Sen pukul 16.00","0896-8888-2023","https://balipsikologi.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat"
"https://www.google.com/maps/place/Praktek+Psikolog+Galang+Dharma+dan+Sri+Wiraswati/data=!4m7!3m6!1s0x2dd241e7cde93819:0x73440b0da62ddaa2!8m2!3d-8.6636551!4d115.2358463!16s%2Fg%2F11fjvjlj5w!19sChIJGTjpzedB0i0Rototpg0LRHM?authuser=0&hl=id&rclk=1","Praktek Psikolog Galang Dharma dan Sri Wiraswati","5,0","(24)","Psikolog","·","Jl. Dewi Madri VIII No.5","·","Tutup","· Buka Sen pukul 10.00","0897-0832-042","http://psikologrenon.wordpress.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya merasa didampingi dengan profesional"
