"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/PSIKOLOG+KLINIS+Mirza+Adi+Prabowo,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e7a591d904f3415:0x1b21632474637c26!8m2!3d-7.7457265!4d110.4093595!16s%2Fg%2F11qmmfclss!19sChIJFTRPkB1Zei4RJnxjdCRjIRs?authuser=0&hl=id&rclk=1","PSIKOLOG KLINIS Mirza Adi Prabowo, M.Psi., Psikolog","4,9","(247)","Psikolog","·","","·","Jl. Alpokat Perumahan Jambusari Indah No.5","Buka","· Tutup pukul 18.00","·","0812-2997-2989","http://www.mirzaadi.my.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Psikolognya membantu serta profesional dengan solusi yg sangat aplikatif"""
"https://www.google.com/maps/place/SYAPC+-+Psikolog+Jogja+%26+Biro+Psikologi/data=!4m7!3m6!1s0x2e7a572af8042499:0x5708eaef6859ca75!8m2!3d-7.8019346!4d110.3929174!16s%2Fg%2F11px9dkq84!19sChIJmSQE-CpXei4RdcpZaO_qCFc?authuser=0&hl=id&rclk=1","SYAPC - Psikolog Jogja & Biro Psikologi","4,8","(19)","Psikolog","·","","Jl. Kusumanegara No.159","·","Buka","· Tutup pukul 16.00","","0813-2597-0906","https://suryaanggraeni.co.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sukses terus untuk Surya Anggraeni Psychology Center!"""
"https://www.google.com/maps/place/Biro+Psikologi+Detection/data=!4m7!3m6!1s0x2e7a59c048fb65ad:0x41b3957fe6ded6c3!8m2!3d-7.7773498!4d110.3741219!16s%2Fg%2F11jbqcxkkc!19sChIJrWX7SMBZei4Rw9be5n-Vs0E?authuser=0&hl=id&rclk=1","Biro Psikologi Detection","4,9","(49)","Psikolog","·","","·","Jl. C. Simanjuntak No.50","Tutup","· Buka Sen pukul 07.30","·","0852-9051-6896","https://detection.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat profesional, pelayanan ramah, harga cukup affordable."""
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+DIY/data=!4m7!3m6!1s0x2e7a59a36b22d8d3:0x5e26489f21815899!8m2!3d-7.7713714!4d110.3614722!16s%2Fg%2F11trhsht61!19sChIJ09gia6NZei4RmViBIZ9IJl4?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia Cabang DIY","5,0","(2)","Psikolog","·","","Ideazone Office, Jl. Magelang No.188","·","Tutup","· Buka Sen pukul 08.00","","0878-8718-4585","https://praktekpsikolog.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/PPDK+Kemuning+Kembar/data=!4m7!3m6!1s0x2e7a578248e34aa3:0x3481f913908f4352!8m2!3d-7.8023201!4d110.3760294!16s%2Fg%2F11gzvd6w1!19sChIJo0rjSIJXei4RUkOPkBP5gTQ?authuser=0&hl=id&rclk=1","PPDK Kemuning Kembar","4,6","(106)","Psikolog","·","","·","Margoyasan PA II, Jl. Sultan Agung Gg. Bromo No.470","Tutup","· Buka Sen pukul 08.00","·","(0274) 4469822","https://www.kemuningkembar.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terapis mendampingi dengan penuh kesabaran, tempat nya nyaman dan bersih"""
"https://www.google.com/maps/place/Praktek+Psikolog+Klinis+%28Assyifa+Consulting%29/data=!4m7!3m6!1s0x2e7af7f602a54039:0x50cc9e42e8da5d9d!8m2!3d-7.774813!4d110.3251993!16s%2Fg%2F11smszdj2y!19sChIJOUClAvb3ei4RnV3a6EKezFA?authuser=0&hl=id&rclk=1","Praktek Psikolog Klinis (Assyifa Consulting)","4,9","(130)","Psikolog","·","","Jl. Merpati 2 No.5","·","Tutup","· Buka Sen pukul 08.00","","0819-1095-8989","https://instagram.com/assyifa_consulting?utm_medium=copy_link","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ruangannya nyaman dan saat konsultasi diberikan solusi dan terapi."""
"https://www.google.com/maps/place/Psikolog+Dra.+Retnowati+Suryo,+Psi,+Mars/data=!4m7!3m6!1s0x2e7a578272d45091:0x5057858952d271a6!8m2!3d-7.8019156!4d110.3780444!16s%2Fg%2F11b6hn6_vx!19sChIJkVDUcoJXei4RpnHSUomFV1A?authuser=0&hl=id&rclk=1","Psikolog Dra. Retnowati Suryo, Psi, Mars","4,5","(4)","Psikolog","·","","Jl. Sultan Agung No.62","Tutup","· Buka Sen pukul 10.00","·","","(0274) 450577","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""mau tanya untuk jasa"
"https://www.google.com/maps/place/Unit+Konsultasi+Psikologi+UGM/data=!4m7!3m6!1s0x2e7a59b4c3ca1901:0x768a3ea39239aa34!8m2!3d-7.7717661!4d110.3800604!16s%2Fg%2F1ptwxjmg7!19sChIJARnKw7RZei4RNKo5kqM-inY?authuser=0&hl=id&rclk=1","Unit Konsultasi Psikologi UGM","4,4","(34)","Rumah Sakit Jiwa","·","","·","69HJ+72V Bulaksumur, Yogyakarta, Jl. Sosio Humaniora","Tutup","· Buka Sen pukul 08.00","·","0857-5916-1581","https://ukp.psikologi.ugm.ac.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagaimana caranya untuk orang umum seperti kami bisa memperoleh layanan?"""
