"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Surakarta/data=!4m7!3m6!1s0x2e7a178d52b60c17:0x1aa43a1aea3c6232!8m2!3d-7.5651098!4d110.813459!16s%2Fg%2F11sdww99y8!19sChIJFwy2Uo0Xei4RMmI86ho6pBo?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Surakarta","4,7","(13)","Psikolog","·","El Samara Office, Jl. Wora Wari No.3","Buka","· Tutup pukul 16.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan baik"
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+Semarang/data=!4m7!3m6!1s0x2e708d9e05b86beb:0xfb41369f413feeae!8m2!3d-7.061936!4d110.4177863!16s%2Fg%2F11p4vsjpxp!19sChIJ62u4BZ6NcC4Rru4_QZ82Qfs?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia Cabang Semarang","4,5","(11)","Psikolog","·","A+ Room, Jl. Durian Raya No.5","Tutup","· Buka pukul 10.00","·","0878-8718-4585","http://www.praktekpsikolog.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Untuk masalah biaya kira2 kisaran berapa ya?"""
"https://www.google.com/maps/place/Taman+Bintang+-+psikologi+dan+Terapi+Anak/data=!4m7!3m6!1s0x2e708b603a5a8d47:0xc1531feaeddcbd0c!8m2!3d-6.999246!4d110.4322416!16s%2Fg%2F11hzv4qyv7!19sChIJR41aOmCLcC4RDL3c7eofU8E?authuser=0&hl=id&rclk=1","Taman Bintang - psikologi dan Terapi Anak","4,8","(199)","Psikolog","·","·","Jl. MT. Haryono No.685 C","Buka","· Tutup pukul 15.00","0811-2713-454","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended untuk terapi dan stimulasi perkembangan anak."""
"https://www.google.com/maps/place/Praktek+Psikolog+Spirit+Psychology+Center+Semarang/data=!4m7!3m6!1s0x2e70f4b3fd485f79:0x7ac9ba5823441a1f!8m2!3d-6.9711214!4d110.4091329!16s%2Fg%2F11gh0cj36m!19sChIJeV9I_bP0cC4RHxpEI1i6yXo?authuser=0&hl=id&rclk=1","Praktek Psikolog Spirit Psychology Center Semarang","5,0","(7)","Psikolog","·","·","Tutup","· Buka Sen pukul 11.00","Jl. Drupadi No.2A/2","0882-2899-8101","http://www.spiritpsychologycenter.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih kak sella 🫡"""
"https://www.google.com/maps/place/Semarang+Hipnoterapi+Psikolog+Dewasa+dan+Anak+-+Ihfan+N+Saputro,+M.Psi.,+Psikolog+-+Binar+Kalbu+Psikologi/data=!4m7!3m6!1s0x2e708b224fb1dbd3:0xf5111ba557183b60!8m2!3d-6.9952975!4d110.3866674!16s%2Fg%2F11cmrxx4yl!19sChIJ09uxTyKLcC4RYDsYV6UbEfU?authuser=0&hl=id&rclk=1","Semarang Hipnoterapi Psikolog Dewasa dan Anak - Ihfan N Saputro, M.Psi., Psikolog - Binar Kalbu Psikologi","5,0","(875)","Psikolog","·","Jl. WR. Supratman X No.27, RT.01/RW.12","Buka","· Tutup pukul 20.00","·","0895-3599-47727","http://binarkalbu.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terapisnya baik, mengengarkan semua cerita dr awal sampai selesai."""
"https://www.google.com/maps/place/Aruna+jiwa+hipnoterapi/data=!4m7!3m6!1s0x2e708bd45a66f68d:0x79d852fadb6e706!8m2!3d-6.9850245!4d110.3867827!16s%2Fg%2F11tg29bvfl!19sChIJjfZmWtSLcC4RBue2rS-FnQc?authuser=0&hl=id&rclk=1","Aruna jiwa hipnoterapi","5,0","(58)","Klinik Kesehatan Mental","·","Jl. Puspogiwang I No.44, RT.03/RW.03","Buka","· Tutup pukul 21.00","·","0821-3456-5224","https://lynk.id/arunajiwa","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih sudah membantu menghilangkan kecemasan saya terimakasih"""
"https://www.google.com/maps/place/Klinik+Psikologi/data=!4m7!3m6!1s0x2e708b41975bcc81:0xef6a3b22d663e7ea!8m2!3d-6.9945315!4d110.4073635!16s%2Fg%2F1hm1qh4_f!19sChIJgcxbl0GLcC4R6udj1iI7au8?authuser=0&hl=id&rclk=1","Klinik Psikologi","4,5","(2)","Klinik Kesehatan Mental","·","2C44+5WQ","","","","","","","Rute","","","",""
"https://www.google.com/maps/place/PSIKOLOG+KLINIS+Mirza+Adi+Prabowo,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e7a591d904f3415:0x1b21632474637c26!8m2!3d-7.7457265!4d110.4093595!16s%2Fg%2F11qmmfclss!19sChIJFTRPkB1Zei4RJnxjdCRjIRs?authuser=0&hl=id&rclk=1","PSIKOLOG KLINIS Mirza Adi Prabowo, M.Psi., Psikolog","4,9","(247)","Psikolog","·","·","Buka","· Tutup pukul 18.00","Jl. Alpokat Perumahan Jambusari Indah No.5","0812-2997-2989","http://www.mirzaadi.my.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Psikolognya membantu serta profesional dengan solusi yg sangat aplikatif"""
