"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Konsultasi+psikologi,+Hipnoterapi,+Psikiater+dr+I+Gusti+Rai+Wiguna+SpKJ/data=!4m7!3m6!1s0x2dd241dca969b8d3:0xdccdf3ca29323a98!8m2!3d-8.6738966!4d115.2178344!16s%2Fg%2F11fn4tp7rs!19sChIJ07hpqdxB0i0RmDoyKcrzzdw?authuser=0&hl=id&rclk=1","Konsultasi psikologi, Hipnoterapi, Psikiater dr I Gusti Rai Wiguna SpKJ","4,8","(172)","Psikiater","·","·","Jl. Jend. Sudirman No.1","Tutup","· Buka Sen pukul 14.00","0812-3900-8080","http://psikiaterbali.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good and Simple
Mengajarkan kita untuk menikmati hidup dengan cara simple"""
"https://www.google.com/maps/place/LETICIA+WELLNESS+CENTER+2+-+Praktik+Psikolog+klinis+-+Hipnoterapi+dan+konseling+psikologi+%28+LWC-2+%29/data=!4m7!3m6!1s0x2dd247b0bbb07539:0x66cf21eaea885b23!8m2!3d-8.6528475!4d115.1722731!16s%2Fg%2F11s0jgb945!19sChIJOXWwu7BH0i0RI1uI6uohz2Y?authuser=0&hl=id&rclk=1","LETICIA WELLNESS CENTER 2 - Praktik Psikolog klinis - Hipnoterapi dan konseling psikologi ( LWC-2 )","5,0","(23)","Klinik Kesehatan Mental","·","sebelah resto ayam JFC, Jl. Raya Kesambi No.9","Tutup","· Buka Sen pukul 09.00","·","0819-9049-9990","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih bu Ling, saya bisa terbuka dengan masalah saya"""
"https://www.google.com/maps/place/Praktek+Psikolog+Evitasari+dan+Weni+Kumala/data=!4m7!3m6!1s0x2dd2413495f62fed:0x96cd03946f1f6c6d!8m2!3d-8.6818846!4d115.2105662!16s%2Fg%2F11fr4w4bgw!19sChIJ7S_2lTRB0i0RbWwfb5QDzZY?authuser=0&hl=id&rclk=1","Praktek Psikolog Evitasari dan Weni Kumala","5,0","(12)","Psikolog","·","Jl. Pulau Menjangan No.61x","·","Tutup","· Buka Sen pukul 15.00","0821-4464-9065","https://yubi.id/ppmevitaweni","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sy senang sekali dgn Kak Evita dan kak Weni."""
"https://www.google.com/maps/place/dr.+I+Gde+Yudhi+Kurniawan,+SpKJ/data=!4m7!3m6!1s0x2dd241c60be25fc3:0xa5f4c436858901d3!8m2!3d-8.6738004!4d115.2177276!16s%2Fg%2F11h2hbh3kz!19sChIJw1_iC8ZB0i0R0wGJhTbE9KU?authuser=0&hl=id&rclk=1","dr. I Gde Yudhi Kurniawan, SpKJ","4,9","(31)","Psikiater","·","Jl. P.B. Sudirman No.1a","·","Tutup","· Buka Sen pukul 18.00","0851-1750-0808","https://linktr.ee/dokteryudhi","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokternya ramah, pelayanan baik"""
"https://www.google.com/maps/place/LETICIA+WELLNESS+CENTER+1+-+Praktik+Psikolog+Klinis+-+Hipnoterapi+dan+konseling+psikologi+Denpasar+Bali+%28+LWC+%29/data=!4m7!3m6!1s0x2dd23f950dba138f:0x876abb9ffe923fc4!8m2!3d-8.6504343!4d115.1914968!16s%2Fg%2F11jk4fjpdj!19sChIJjxO6DZU_0i0RxD-S_p-7aoc?authuser=0&hl=id&rclk=1","LETICIA WELLNESS CENTER 1 - Praktik Psikolog Klinis - Hipnoterapi dan konseling psikologi Denpasar Bali ( LWC )","4,9","(36)","Psikoterapis","·","Jl. Gn. Agung No.9B","·","Tutup","· Buka Sen pukul 09.00","0819-9049-9990","http://leticia.id/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""psikoterapist profesional dan sangat membantu"""
"https://www.google.com/maps/place/Biro+Psikologi,+Riset+%26+Pengembangan+SDM,+AGET+Development+%28Psikologi,+Teambuilding,+Pelatihan+Karyawan,+Enumerator,+Riset%29/data=!4m7!3m6!1s0x2dd2416c2bcbbe25:0x589b6a7247649494!8m2!3d-8.655076!4d115.2203603!16s%2Fg%2F11jk5q2_yv!19sChIJJb7LK2xB0i0RlJRkR3Jqm1g?authuser=0&hl=id&rclk=1","Biro Psikologi, Riset & Pengembangan SDM, AGET Development (Psikologi, Teambuilding, Pelatihan Karyawan, Enumerator, Riset)","5,0","(141)","Psikolog","·","Jl. Kepundung No.12","·","Tutup","· Buka Sen pukul 12.00","0822-1012-6118","http://www.agetdevelopment.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pengalaman yg paling berkesan bisa menjadi mitra aget development."""
"https://www.google.com/maps/place/Dian+Selaras+Psikologi+%26+Hipnoterapi+Bali+%2F+Praktik+Psikologi+Mandiri/data=!4m7!3m6!1s0x2dd240f22b047959:0xb2dba08314aa290!8m2!3d-8.6752372!4d115.2270998!16s%2Fg%2F11cnd6wpkw!19sChIJWXkEK_JA0i0RkKJKMQi6LQs?authuser=0&hl=id&rclk=1","Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri","4,8","(46)","Psikolog","·","·","Jl. Tukad Gangga IV No.12-A","Tutup","· Buka Sen pukul 08.00","0812-3711-5409","https://www.dianselaraspsikologibali.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya merasa jauh lebih baik setelah datang ke sini."""
"https://www.google.com/maps/place/Klinik+Psikologi+Titut+Esti+Koeswardani+%7C+Bali+Empower/data=!4m7!3m6!1s0x2dd2416f9285cd03:0xcbd637ff088e6da9!8m2!3d-8.6772029!4d115.2360252!16s%2Fg%2F11ltswqhx8!19sChIJA82Fkm9B0i0RqW2OCP831ss?authuser=0&hl=id&rclk=1","Klinik Psikologi Titut Esti Koeswardani | Bali Empower","5,0","(144)","Psikolog","·","Apotik INDOBAT, Jl. Tukad Yeh Aya No.100","·","Buka","· Tutup pukul 22.00","0877-7743-0348","https://baliempower.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua dilakukan dengan cara baik dan professional, recommended"""
"https://www.google.com/maps/place/Teduh+Jiwa+Psikologi+Bali,+psikolog+I+Gusti+Agung+Ayu+Yunita+Utami/data=!4m7!3m6!1s0x2dd23fe177a02aef:0xf795c4358f4dc26!8m2!3d-8.6693486!4d115.2508586!16s%2Fg%2F11tmtplvy9!19sChIJ7yqgd-E_0i0RJtz0WENceQ8?authuser=0&hl=id&rclk=1","Teduh Jiwa Psikologi Bali, psikolog I Gusti Agung Ayu Yunita Utami","4,6","(38)","Psikolog","·","Jl. Sedap Malam No.90","Tutup","· Buka pukul 11.00","·","0821-4491-6261","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat terapi disini sangat membantu untuk penyembuhan mental."""
"https://www.google.com/maps/place/Biro+Psikologi+%26+Pusat+Tumbuh+Kembang+Anak+Pradnyagama/data=!4m7!3m6!1s0x2dd240f72ce5db31:0xaf55c2754b20b325!8m2!3d-8.676963!4d115.240499!16s%2Fg%2F1hm32rs51!19sChIJMdvlLPdA0i0RJbMgS3XCVa8?authuser=0&hl=id&rclk=1","Biro Psikologi & Pusat Tumbuh Kembang Anak Pradnyagama","4,7","(181)","Klinik Kesehatan Mental","·","Jl. Tukad Yeh Aya No.183","·","Tutup","· Buka Sen pukul 09.00","0857-3923-4234","https://psikologibali.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Benar-benar dibantu untuk menyelesaikan permasalah, sampai tuntas."""
