"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Praktek+Psikiater+dr.+Lili+Tunggal+Sp.KJ/data=!4m7!3m6!1s0x2dbee31ef23cbceb:0xb61988d710545be5!8m2!3d-5.1632359!4d119.417972!16s%2Fg%2F11p0g73yr9!19sChIJ67w88h7jvi0R5VtUENeIGbY?authuser=0&hl=id&rclk=1","Praktek Psikiater dr. Lili Tunggal Sp.KJ","4,9","(183)","Psikiater","·","Jl. DR. Ratulangi No.180","Tutup","· Buka Sen pukul 18.00","·","0852-4444-2630","https://s.id/Praktek-drLiliTunggalSpKJ","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Praktik yg recomended dengan pelayanan dan dokter yg terampil 👍🏻👍🏻"""
"https://www.google.com/maps/place/Praktik+Psikologi+Widia+Julianti+Siddik,+M.Psi,+Psikolog/data=!4m7!3m6!1s0x2dbf1de40b0ee231:0x26715718ae388944!8m2!3d-5.1743026!4d119.4150194!16s%2Fg%2F11jzydx3mt!19sChIJMeIOC-Qdvy0RRIk4rhhXcSY?authuser=0&hl=id&rclk=1","Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog","5,0","(135)","Psikolog","·","Jl. A. Mappaoddang. H2 Lama","","","","0812-5388-3789","https://widiapsi.carrd.co/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cara penyampaian dan menjelaskan nya bagus banget 🙏 dokter nya juga baik."""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","http://thinkpluspsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍"""
"https://www.google.com/maps/place/Klinik+Praktek+Psikiater+Fitrah/data=!4m7!3m6!1s0x2dbee2a90df6a905:0x2b87e5d1d80a249d!8m2!3d-5.1484709!4d119.4215474!16s%2Fg%2F11g8xhtv18!19sChIJBan2Danivi0RnSQK2NHlhys?authuser=0&hl=id&rclk=1","Klinik Praktek Psikiater Fitrah","4,5","(6)","Klinik Kesehatan Mental","·","Jl. Monginsidi No.25","","","","0821-8704-0608","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""layanan Alhamdulillah pengobatan cepat"""
"https://www.google.com/maps/place/Layanan+Psikologi+Makassar+%7C+Cognito/data=!4m7!3m6!1s0x2dbefd59f3c26e33:0xd5ebe7aa0e002e0!8m2!3d-5.1852303!4d119.4431357!16s%2Fg%2F11gdlxbvnj!19sChIJM27C81n9vi0R4ALgoHq-Xg0?authuser=0&hl=id&rclk=1","Layanan Psikologi Makassar | Cognito","4,9","(67)","Psikolog","·","Bumi Permata Hijau, Jl. Bumi Raya Komp. (BPH) No.18 Blok B3","Buka 24 jam","","·","0852-5597-2392","https://cognitoindonesia.wixsite.com/cognito","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fast respon, lokasi strategis, pelayanan excellent."""
"https://www.google.com/maps/place/Yayasan+Psikolog+Cahaya+Bunda+Balikpapan/data=!4m7!3m6!1s0x2df146e46d1cd7a1:0xb1854140a712d81f!8m2!3d-1.277655!4d116.8349238!16s%2Fg%2F1hm69x7q0!19sChIJodccbeRG8S0RH9gSp0BBhbE?authuser=0&hl=id&rclk=1","Yayasan Psikolog Cahaya Bunda Balikpapan","4,9","(62)","Klinik Kesehatan Mental","·","Jl. Jenderal Sudirman, Ruko Bandar No.Blok B14","Tutup","· Buka Sen pukul 08.00","·","0812-4107-2185","http://cahayabundabalikpapan.blogspot.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alhamdulillah setelah terapi disini, anak saya mengalami kemajuan."""
"https://www.google.com/maps/place/Klinik+Hipnoterapi+Keluarga+Resmi+KemenKes+RI+%26+MC+Profesional+dari+BNSP+RI+Terbaik+di+Balikpapan/data=!4m7!3m6!1s0x2df1475eae00f867:0x13890a4a26303280!8m2!3d-1.2618063!4d116.8622361!16s%2Fg%2F11rxzhny70!19sChIJZ_gArl5H8S0RgDIwJkoKiRM?authuser=0&hl=id&rclk=1","Klinik Hipnoterapi Keluarga Resmi KemenKes RI & MC Profesional dari BNSP RI Terbaik di Balikpapan","5,0","(70)","Layanan Hipnoterapi","·","·","Buka 24 jam","","Bahagia, Jl. Flamboyan No.11 D, RT.11","0812-2221-2479","https://hipnoterapi-balikpapan.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Semua perubahan berawal dari sini terimakasih Familly Hypnotherapy"""
"https://www.google.com/maps/place/KLINIK+PSIKOLOGI+DAN+KESEHATAN+SIM/data=!4m7!3m6!1s0x2df147002e5d036f:0xceb48fc80a62e6c5!8m2!3d-1.277409!4d116.834791!16s%2Fg%2F11z6gkgcwt!19sChIJbwNdLgBH8S0RxeZiCsiPtM4?authuser=0&hl=id&rclk=1","KLINIK PSIKOLOGI DAN KESEHATAN SIM","4,0","(1)","Klinik Medis","·","PRFM+3W6, Jl. Jenderal Sudirman, Ruko Bandar","","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Namun jika tidak ada bisa dibantu copy di sini."""
"https://www.google.com/maps/place/Spirit+Psikologi+Manado/data=!4m7!3m6!1s0x32877555e9d29bd1:0x684d4224a0034473!8m2!3d1.477851!4d124.8792211!16s%2Fg%2F11h64fb6st!19sChIJ0ZvS6VV1hzIRc0QDoCRCTWg?authuser=0&hl=id&rclk=1","Spirit Psikologi Manado","5,0","(36)","Psikolog","·","Jl. Lengkong Wuaya. Kel. Ranomuut, Lingk VI","Tutup","· Buka Sen pukul 09.00","·","0812-4427-304","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Permisi kak... Izin nanya untuk tes IQ apakah ada?"""
