"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+Psikiater+dr.+Lili+Tunggal+Sp.KJ/data=!4m7!3m6!1s0x2dbee31ef23cbceb:0xb61988d710545be5!8m2!3d-5.1632359!4d119.417972!16s%2Fg%2F11p0g73yr9!19sChIJ67w88h7jvi0R5VtUENeIGbY?authuser=0&hl=id&rclk=1","Praktek Psikiater dr. Lili Tunggal Sp.KJ","4,9","(183)","Psikiater","·","Jl. DR. Ratulangi No.180","Tutup","· Buka Sen pukul 18.00","·","0852-4444-2630","https://s.id/Praktek-drLiliTunggalSpKJ","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Praktik yg recomended dengan pelayanan dan dokter yg terampil 👍🏻👍🏻"""
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+Makassar/data=!4m7!3m6!1s0x2dbee3cd086ac573:0xd3f9eca736b4715f!8m2!3d-5.1485246!4d119.4529134!16s%2Fg%2F11q266g4b3!19sChIJc8VqCM3jvi0RX3G0Nqfs-dM?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia Cabang Makassar","4,9","(18)","Psikolog","·","Gedung Confie Indonesia - Makassar, Blk. D No.10","Buka","· Tutup pukul 19.00","·","0812-1345-8601","http://www.praktekpsikolog.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Psikolognya bagus, sy berprogress dng baik setelah konsultasi pertama"""
"https://www.google.com/maps/place/Praktik+Psikologi+Widia+Julianti+Siddik,+M.Psi,+Psikolog/data=!4m7!3m6!1s0x2dbf1de40b0ee231:0x26715718ae388944!8m2!3d-5.1743026!4d119.4150194!16s%2Fg%2F11jzydx3mt!19sChIJMeIOC-Qdvy0RRIk4rhhXcSY?authuser=0&hl=id&rclk=1","Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog","5,0","(135)","Psikolog","·","Jl. A. Mappaoddang. H2 Lama","","","","0812-5388-3789","https://widiapsi.carrd.co/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cara penyampaian dan menjelaskan nya bagus banget 🙏 dokter nya juga baik."""
"https://www.google.com/maps/place/Klinik+Praktek+Psikiater+Fitrah/data=!4m7!3m6!1s0x2dbee2a90df6a905:0x2b87e5d1d80a249d!8m2!3d-5.1484709!4d119.4215474!16s%2Fg%2F11g8xhtv18!19sChIJBan2Danivi0RnSQK2NHlhys?authuser=0&hl=id&rclk=1","Klinik Praktek Psikiater Fitrah","4,5","(6)","Klinik Kesehatan Mental","·","Jl. Monginsidi No.25","","","","0821-8704-0608","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""layanan Alhamdulillah pengobatan cepat"""
"https://www.google.com/maps/place/Layanan+Psikologi+Makassar+%7C+Cognito/data=!4m7!3m6!1s0x2dbefd59f3c26e33:0xd5ebe7aa0e002e0!8m2!3d-5.1852303!4d119.4431357!16s%2Fg%2F11gdlxbvnj!19sChIJM27C81n9vi0R4ALgoHq-Xg0?authuser=0&hl=id&rclk=1","Layanan Psikologi Makassar | Cognito","4,9","(67)","Psikolog","·","Bumi Permata Hijau, Jl. Bumi Raya Komp. (BPH) No.18 Blok B3","Buka 24 jam","","·","0852-5597-2392","https://cognitoindonesia.wixsite.com/cognito","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fast respon, lokasi strategis, pelayanan excellent."""
"https://www.google.com/maps/place/Praktek+Psikolog/data=!4m7!3m6!1s0x2dbee28ac3f9f185:0x55978f38fad26b55!8m2!3d-5.1766471!4d119.4398944!16s%2Fg%2F1hm2lkwt9!19sChIJhfH5w4rivi0RVWvS-jiPl1U?authuser=0&hl=id&rclk=1","Praktek Psikolog","5,0","(4)","Toko","·","Jl. Monumen Emmy Saelan No.5","Buka","· Tutup pukul 17.00","·","(0411) 841189","","","Rute","","","",""
"https://www.google.com/maps/place/Praktek+DOKTER+PSIKIATER/data=!4m7!3m6!1s0x2dbefd6011caa0d3:0x6bdf95a8dd964bcb!8m2!3d-5.1229449!4d119.4183494!16s%2Fg%2F11c603lpsb!19sChIJ06DKEWD9vi0Ry0uW3aiV32s?authuser=0&hl=id&rclk=1","Praktek DOKTER PSIKIATER","3,5","(17)","Dokter","·","Jl. Bandang No.291","Tutup","· Buka Sen pukul 17.00","·","0811-445-854","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokternya ramah..susternya cantik..."""
"https://www.google.com/maps/place/Psikiater+andi+hema/data=!4m7!3m6!1s0x2dbf1d00e3cb0d6d:0x7eda9d2343ae131d!8m2!3d-5.1615933!4d119.417671!16s%2Fg%2F11kr_pn0kw!19sChIJbQ3L4wAdvy0RHROuQyOd2n4?authuser=0&hl=id&rclk=1","Psikiater andi hema","5,0","(2)","Rumah Sakit Jiwa","·","Jl. DR. Ratulangi No.93","Buka 24 jam","","","","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Layanan memuaskan"""
