"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","lcr4fd href","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Klinik+Psikologi+Tumbuh+Kembang+Anak+Cahaya+Nurani/data=!4m7!3m6!1s0x2d8bef004cde657d:0xa9dadc0fa20970f!8m2!3d-0.9070728!4d119.9069634!16s%2Fg%2F11n3pyxxf5!19sChIJfWXeTADviy0RD5cg-sCtnQo?authuser=0&hl=id&rclk=1","Klinik Psikologi Tumbuh Kembang Anak Cahaya Nurani","5,0","(1)","Psikolog","·","3WV4+5QG","Buka","· Tutup pukul 16.00","·","0822-9296-6905","","Rute","","","","",""
"https://www.google.com/maps/place/Psikologi+Sinergi/data=!4m7!3m6!1s0x2d8bed335f7aa8a3:0x9687089bff5f381b!8m2!3d-0.8980122!4d119.8919429!16s%2Fg%2F11g1kkx_t0!19sChIJo6h6XzPtiy0RGzhf_5sIh5Y?authuser=0&hl=id&rclk=1","Psikologi Sinergi","4,8","(9)","Psikolog","·","Jl. Balai Kota Timur No.1","Tutup","· Buka Sen pukul 09.00","·","0815-1076-4938","","Situs Web","https://www.facebook.com/konsultanpsikologi33","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya belajarnya nyaman"""
"https://www.google.com/maps/place/Klinik+Psikologi+Wangi+Embun/data=!4m7!3m6!1s0x2d8bf156f8438f5b:0xdf217dae8e8d5e7c!8m2!3d-0.9123884!4d119.8550236!16s%2Fg%2F11v5by63w_!19sChIJW49D-Fbxiy0RfF6Njq59Id8?authuser=0&hl=id&rclk=1","Klinik Psikologi Wangi Embun","5,0","(5)","Klinik Kesehatan Mental","·","Jl. Cendana No.46","Tutup","· Buka Sen pukul 15.00","·","0821-9688-3080","","Rute","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kakk ada ga no."""
"https://www.google.com/maps/place/Bincang+Psikologi/data=!4m7!3m6!1s0x2d8befe5de1ff925:0xc44c426fd0eb5a3e!8m2!3d-0.8544239!4d119.8847527!16s%2Fg%2F11svm6ghxq!19sChIJJfkf3uXviy0RPlrr0G9CTMQ?authuser=0&hl=id&rclk=1","Bincang Psikologi","4,9","(28)","Rumah Sakit Jiwa","·","4VWM+7W5, Jl. RE Martadinata","Tutup","· Buka Sen pukul 10.00","·","0851-6765-5054","","Situs Web","http://www.bincangpsikologi.com/","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan yg sangat ramah,  kegiatan outdoor yg paling asik dan seru"""
"https://www.google.com/maps/place/Biro+Konsultasi+%26+Pelayanan+Psikologis+%22HUMANITY%22/data=!4m7!3m6!1s0x2d8bedc47b06188f:0x1258c07ec7106a1b!8m2!3d-0.8968889!4d119.8665449!16s%2Fg%2F11h6npj5d_!19sChIJjxgGe8Ttiy0RG2oQx37AWBI?authuser=0&hl=id&rclk=1","Biro Konsultasi & Pelayanan Psikologis ""HUMANITY""","5,0","(1)","Psikolog","·","Jl. Dr. Wahidin","","","","0852-3200-9871","","Rute","","","","",""
"https://www.google.com/maps/place/Praktek+Psikiater+dr.+Lili+Tunggal+Sp.KJ/data=!4m7!3m6!1s0x2dbee31ef23cbceb:0xb61988d710545be5!8m2!3d-5.1632359!4d119.417972!16s%2Fg%2F11p0g73yr9!19sChIJ67w88h7jvi0R5VtUENeIGbY?authuser=0&hl=id&rclk=1","Praktek Psikiater dr. Lili Tunggal Sp.KJ","4,9","(183)","Psikiater","·","Jl. DR. Ratulangi No.180","Tutup","· Buka Sen pukul 18.00","·","0852-4444-2630","","Situs Web","https://s.id/Praktek-drLiliTunggalSpKJ","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Praktik yg recomended dengan pelayanan dan dokter yg terampil 👍🏻👍🏻"""
"https://www.google.com/maps/place/Rumah+Berbagi/data=!4m7!3m6!1s0x2d8bededae03d06d:0xe0cf1b0ea6b77d3b!8m2!3d-0.9208024!4d119.8881877!16s%2Fg%2F11h391b1b0!19sChIJbdADru3tiy0RO323pg4bz-A?authuser=0&hl=id&rclk=1","Rumah Berbagi","5,0","(2)","Klinik Kesehatan Mental","·","Jl. Basuki Rahmat","Tutup","· Buka Sen pukul 15.00","·","0852-4111-1459","","Rute","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ini msuk d sni ba bayar le ?"""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","","Situs Web","https://praktekpsikolog.com/","","Rute","",""
