"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Praktek+Psikolog+Klinis+Swarahati+Consulting/data=!4m7!3m6!1s0x2d98f353ca6148d1:0x42e4ebbaea7652b5!8m2!3d-3.9660206!4d122.5291859!16s%2Fg%2F11l4dhgmcd!19sChIJ0UhhylPzmC0RtVJ26rrr5EI?authuser=0&hl=id&rclk=1","Praktek Psikolog Klinis Swarahati Consulting","5,0","(144)","Psikolog","·","Jl. Bunga Seroja Lorong Bonsai No.27","Tutup","· Buka Sen pukul 16.30","·","0813-9398-2764","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Treatment nya bagus, bikin kita nyaman dan nggak judgemental.""","","",""
"https://www.google.com/maps/place/Praktik+Psikolog+%22Psikologika%22/data=!4m7!3m6!1s0x2d988d43a9dfc599:0x9ab3710b7c3fa5aa!8m2!3d-3.968086!4d122.5152874!16s%2Fg%2F11h3cbcnrk!19sChIJmcXfqUONmC0RqqU_fAtxs5o?authuser=0&hl=id&rclk=1","Praktik Psikolog ""Psikologika""","5,0","(60)","Psikolog","·","Jalan Thamrin No.34","Tutup","· Buka Sen pukul 08.00","·","0857-5720-4427","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sangat membantu dan merasa lebih tenang setelah konseling ☺️""","","",""
"https://www.google.com/maps/place/Genesis+Psychological+Clinic/data=!4m7!3m6!1s0x2d988d63877b06d3:0x20db99033edc73ad!8m2!3d-4.0090336!4d122.4982878!16s%2Fg%2F11tjyjh0lq!19sChIJ0wZ7h2ONmC0RrXPcPgOZ2yA?authuser=0&hl=id&rclk=1","Genesis Psychological Clinic","5,0","(74)","Psikolog","·","Jl. Jend. Ahmad Yani No.220","Tutup","· Buka Sen pukul 09.00","","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Halo apa saya bisa berkonsultasi tentang autisme untuk orang dewasa?""","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+ADJ_MADO/data=!4m7!3m6!1s0x2d988d932baf0279:0x3a6246448df82eb0!8m2!3d-4.0259663!4d122.4800247!16s%2Fg%2F11tgfw2cqg!19sChIJeQKvK5ONmC0RsC74jURGYjo?authuser=0&hl=id&rclk=1","Praktek Psikolog ADJ_MADO","4,9","(54)","Psikolog","·","BTN PNS Blok XIV Jl. Apel No.17","Tutup","· Buka Sen pukul 13.00","·","0817-897-771","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Konsultasi bagus, ramah dan dokter sangat komunikatif dan informatif""","","",""
"https://www.google.com/maps/place/Praktik+Psikolog+Baubau+Karracare+Layanan+Psikologi/data=!4m7!3m6!1s0x2da4770060466507:0x54dc3ccdc15ce886!8m2!3d-5.4700102!4d122.5995116!16s%2Fg%2F11lckps86h!19sChIJB2VGYAB3pC0Rhuhcwc083FQ?authuser=0&hl=id&rclk=1","Praktik Psikolog Baubau Karracare Layanan Psikologi","5,0","(134)","Psikoterapis","·","Jl. Dr. Wahidin No.142 C","Tutup","· Buka Sen pukul 09.00","·","0822-9025-6730","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rekomended, psikolognya ramah dan komunikatif, pelayanannya juga baik.""","https://www.instagram.com/layananpsikologi.karracare/profilecard/?igsh=bjM4anl1aW5jb2lx","","Rute"
"https://www.google.com/maps/place/Mitra+Psikologi/data=!4m7!3m6!1s0x2d988d24f18f30b1:0xb6b1d3e8ea233fb4!8m2!3d-4.0016472!4d122.5010574!16s%2Fg%2F11c325s_ql!19sChIJsTCP8SSNmC0RtD8j6ujTsbY?authuser=0&hl=id&rclk=1","Mitra Psikologi","4,8","(6)","Psikolog","·","XGX2+8CV, Jl. Sorumba","","","","0852-2909-5583","","Rute","","","","",""
"https://www.google.com/maps/place/Zona+Solution+Psikologi/data=!4m7!3m6!1s0x2d9893b04d4967e3:0xf46939c0ef30e2c!8m2!3d-4.0086602!4d122.5494522!16s%2Fg%2F11svlf44k2!19sChIJ42dJTbCTmC0RLA7zDpyTRg8?authuser=0&hl=id&rclk=1","Zona Solution Psikologi","5,0","(21)","Psikolog","·","Jl. Kijang","Tutup","· Buka Sen pukul 09.00","·","0878-1818-1994","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Psikolognya berpengalaman, sabar, dan sangat membantu perkembangan anak.""","","",""
"https://www.google.com/maps/place/AMBAR+PSIKOLOGI+SOLUSI/data=!4m7!3m6!1s0x2d9893cea3b134b1:0xaf45e07f4c82e713!8m2!3d-4.0158004!4d122.5523529!16s%2Fg%2F11ft7yql1w!19sChIJsTSxo86TmC0RE-eCTH_gRa8?authuser=0&hl=id&rclk=1","AMBAR PSIKOLOGI SOLUSI","5,0","(42)","Psikolog","·","XHM2+MWH","Tutup","· Buka Sen pukul 09.00","·","0811-4051-200","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""psikolognya mendengarkan ceritaku dengan baik tanpa menilai negatif""","","",""
"https://www.google.com/maps/place/Praktik+Mandiri+Psikolog+Monalisa+Aryanti/data=!4m7!3m6!1s0x2d98f30067ae31f1:0xd50b4a92fffa1513!8m2!3d-3.967988!4d122.482237!16s%2Fg%2F11yyy4hmpx!19sChIJ8TGuZwDzmC0RExX6_5JKC9U?authuser=0&hl=id&rclk=1","Praktik Mandiri Psikolog Monalisa Aryanti","5,0","(1)","Psikoterapis","·","Jl. Pattimura No.45 E","Tutup","· Buka Sen pukul 08.00","·","0822-2072-7226","","Rute","","","","",""
"https://www.google.com/maps/place/Home+Psychologist/data=!4m7!3m6!1s0x2d988d9f1a5c78a3:0xe18083eb495f2bbe!8m2!3d-4.0129032!4d122.528409!16s%2Fg%2F11qh647svv!19sChIJo3hcGp-NmC0RvitfSeuDgOE?authuser=0&hl=id&rclk=1","Home Psychologist","4,5","(4)","Klinik Kesehatan Mental","·","Perumahan Dosen Kampus Baru Blok R no. 7","","","","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ka mau konsul itu caranya gimana ya?""","https://www.blogger.com/blog/posts/4498838991161743247","","Rute"
