"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Spirit+Psikologi+Manado/data=!4m7!3m6!1s0x32877555e9d29bd1:0x684d4224a0034473!8m2!3d1.477851!4d124.8792211!16s%2Fg%2F11h64fb6st!19sChIJ0ZvS6VV1hzIRc0QDoCRCTWg?authuser=0&hl=id&rclk=1","Spirit Psikologi Manado","5,0","(36)","Psikolog","·","Jl. Lengkong Wuaya. Kel. Ranomuut, Lingk VI","Tutup","· Buka Sen pukul 09.00","·","0812-4427-304","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Permisi kak... Izin nanya untuk tes IQ apakah ada?""","","",""
"https://www.google.com/maps/place/Praktek+Psikiater+dr.+Lili+Tunggal+Sp.KJ/data=!4m7!3m6!1s0x2dbee31ef23cbceb:0xb61988d710545be5!8m2!3d-5.1632359!4d119.417972!16s%2Fg%2F11p0g73yr9!19sChIJ67w88h7jvi0R5VtUENeIGbY?authuser=0&hl=id&rclk=1","Praktek Psikiater dr. Lili Tunggal Sp.KJ","4,9","(183)","Psikiater","·","Jl. DR. Ratulangi No.180","Tutup","· Buka Sen pukul 18.00","·","0852-4444-2630","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Praktik yg recomended dengan pelayanan dan dokter yg terampil 👍🏻👍🏻""","https://s.id/Praktek-drLiliTunggalSpKJ","","Rute"
"https://www.google.com/maps/place/Praktek+Psikolog+Hanna+Monareh+%26+Tim/data=!4m7!3m6!1s0x3287757ef194ae13:0x4751d3fb9d592545!8m2!3d1.4494686!4d124.8157989!16s%2Fg%2F11h5w3r2qs!19sChIJE66U8X51hzIRRSVZnfvTUUc?authuser=0&hl=id&rclk=1","Praktek Psikolog Hanna Monareh & Tim","5,0","(17)","Psikolog","·","Jl. Mogandi 15","Tutup","· Buka Sel pukul 09.00","·","0821-9110-6549","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat praktik","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","","Situs Web","","","https://praktekpsikolog.com/","","Rute"
"https://www.google.com/maps/place/Praktek+Psikolog+Jansen+Mawikere/data=!4m7!3m6!1s0x32877535993dba0d:0xb08b916fbbd90bb!8m2!3d1.4750159!4d124.8362738!16s%2Fg%2F11ll_8d7ng!19sChIJDbo9mTV1hzIRu5C9-xa5CAs?authuser=0&hl=id&rclk=1","Praktek Psikolog Jansen Mawikere","5,0","(5)","Psikoterapis","·","Jl. Sam Ratulangi 20 No.2","Tutup","· Buka Sen pukul 09.00","·","0813-4428-7821","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Elis+Ratnawati/data=!4m7!3m6!1s0x32877574412265b3:0xd188478f75a0a176!8m2!3d1.460669!4d124.8313731!16s%2Fg%2F11k608hswj!19sChIJs2UiQXR1hzIRdqGgdY9HiNE?authuser=0&hl=id&rclk=1","Praktek Psikolog Elis Ratnawati","5,0","(7)","Psikolog","·","Jl. Tlk. Bayur No.10","Tutup","· Buka Sen pukul 08.00","·","0813-4043-2059","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya baik dan dokter juga ramah""","","",""
"https://www.google.com/maps/place/Praktek+Psikiater+dr.+Ireine+SCR,+M.Kes.,+Sp.KJ/data=!4m7!3m6!1s0x3287754f8278d705:0xcd1c68f9fe40440f!8m2!3d1.4427463!4d124.8515768!16s%2Fg%2F11fpfpjj_9!19sChIJBdd4gk91hzIRD0RA_vloHM0?authuser=0&hl=id&rclk=1","Praktek Psikiater dr. Ireine SCR, M.Kes., Sp.KJ","5,0","(8)","Psikiater","·","Jl. Ring Road No.1","","","","0815-2601-9779","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dokternya baik Skali ramah pada pasien 👍😊""","http://www.integrapsych.one/","","Rute"
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍""","http://thinkpluspsikologi.com/","","Rute"
