"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+dr.+Latifah+spkj,+Psikiater+jiwa/data=!4m7!3m6!1s0x2e3b75a2da81b8a7:0xf1e4b5dadae9dabd!8m2!3d-2.9456392!4d104.733395!16s%2Fg%2F11gjj2hnmv!19sChIJp7iB2qJ1Oy4Rvdrp2tq15PE?authuser=0&hl=id&rclk=1","Praktek dr. Latifah spkj, Psikiater jiwa","4,8","(22)","Dokter","·","KM6.JL.KolonelH Berlian R, Sukabangun 1, Jalan Kamil,Perumahan Berlian, Residen","Tutup","· Buka Sen pukul 16.00","·","0812-7371-4580","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""dr nya ramah pengertian, sangat rekomendasii""","","",""
"https://www.google.com/maps/place/Praktek+Dokter+Spesialis+Kesehatan+Jiwa+dr.+Ekanita+Meivita,+SpKJ/data=!4m7!3m6!1s0x2e3b71056f332935:0x61514e47f1df27bf!8m2!3d-2.9162955!4d104.7679438!16s%2Fg%2F11rfc0qqgp!19sChIJNSkzbwVxOy4Rvyff8UdOUWE?authuser=0&hl=id&rclk=1","Praktek Dokter Spesialis Kesehatan Jiwa dr. Ekanita Meivita, SpKJ","4,8","(42)","Psikiater","·","APOTEK GELORA, Jl. Kenten Lantai 2","","","","0813-7368-9793","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sejak ikut Terapy neurofeedback banyak perubahan yg dirasakan.""","","",""
"https://www.google.com/maps/place/Praktek+Psikologi+Mandiri+Famella+Sari,+M.Psi+dan+Rekan/data=!4m7!3m6!1s0x2e3b75c20a2f578b:0x5806034df45b6603!8m2!3d-2.9769392!4d104.7354635!16s%2Fg%2F11c1qsbz1_!19sChIJi1cvCsJ1Oy4RA2Zb9E0DBlg?authuser=0&hl=id&rclk=1","Praktek Psikologi Mandiri Famella Sari, M.Psi dan Rekan","4,9","(14)","Konsultan","·","2PFP+65G","Buka","· Tutup pukul 18.00","·","0813-2945-9592","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Membersamai dan menguatkan""","","",""
"https://www.google.com/maps/place/Biro+Psikologi+Palembang+PERFECTA+MAXIMA/data=!4m7!3m6!1s0x2e3b77e2f338f243:0xcc4397595f46f78c!8m2!3d-2.9726028!4d104.7542598!16s%2Fg%2F11h3dkq_90!19sChIJQ_I48-J3Oy4RjPdGX1mXQ8w?authuser=0&hl=id&rclk=1","Biro Psikologi Palembang PERFECTA MAXIMA","4,9","(132)","Konsultan","·","Jl. Sersan Wahab No.2083, RT.30","Buka","· Tutup pukul 21.00","","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya nyaman, menyediakan bimbingan belajar penerimaan polri  juga.""","http://www.perfectamaxima.com/","","Rute"
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Palembang/data=!4m7!3m6!1s0x2e3b754b01d68f91:0xc13d1b8af10061b0!8m2!3d-2.9628259!4d104.7199009!16s%2Fg%2F11vc8c0fwy!19sChIJkY_WAUt1Oy4RsGEA8YobPcE?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Palembang","4,0","(4)","Psikolog","·","Jl. Inspektur Marzuki No.124","Buka","· Tutup pukul 17.00","·","0812-1345-8601","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan sangat baik recommended 👍""","https://praktekpsikolog.com/","","Rute"
"https://www.google.com/maps/place/Klinik+Konsultasi+Spiritual+Palembang/data=!4m7!3m6!1s0x2e3b7729ee7eb087:0x17466417300be25c!8m2!3d-2.956613!4d104.7538524!16s%2Fg%2F11fndqk04v!19sChIJh7B-7il3Oy4RXOILMBdkRhc?authuser=0&hl=id&rclk=1","Klinik Konsultasi Spiritual Palembang","5,0","(2)","Klinik Kesehatan Mental","·","Jl. Tombak No.732","","","","","","Rute","","","","",""
"https://www.google.com/maps/place/Praktik+Pribadi+Psikolog+Pelita+Hati/data=!4m7!3m6!1s0x2e3b77925cf850c9:0x335cb87f381bb061!8m2!3d-2.9582866!4d104.7565427!16s%2Fg%2F11vrwsqf8h!19sChIJyVD4XJJ3Oy4RYbAbOH-4XDM?authuser=0&hl=id&rclk=1","Praktik Pribadi Psikolog Pelita Hati","4,8","(6)","Psikolog","·","Ruko Pelita Indah, Jl. Pelita Nomor PI 11","","","","0897-9009-001","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya strategis dan juga berada di lingkungan yang kondusif.""","","",""
"https://www.google.com/maps/place/ASA+Psychological+Consultant+-+Biro+Psikologi+Palembang/data=!4m7!3m6!1s0x2e3b75eb74765a79:0x5758826c3aa9dd00!8m2!3d-2.980757!4d104.7312876!16s%2Fg%2F11f5jpwh4v!19sChIJeVp2dOt1Oy4RAN2pOmyCWFc?authuser=0&hl=id&rclk=1","ASA Psychological Consultant - Biro Psikologi Palembang","5,0","(6)","Psikolog","·","Jl. Sungai Sahang","","","","0856-5861-7850","","Rute","","","","",""
