name,category,province,address,phone,website,rating,review_count,google_maps_url,type,priority
Ritz Consultant Psikologi (Praktek Psikolog),Psikolog,Aceh,jalan tanggul krueng lamnyong No.33,,0811-6809-330,,,https://www.google.com/maps/place/Ritz+Consultant+Psikologi+%28Praktek+Psikolog%29/data=!4m7!3m6!1s0x30403773973c9b6d:0x39929f76ccabe0d9!8m2!3d5.5809344!4d95.3576843!16s%2Fg%2F11hblsz49f!19sChIJbZs8l3M3QDAR2eCrzHafkjk?authuser=0&hl=id&rclk=1,Psychologist,2
Sanubari Psikologi (Praktik Psikolog Cut Maghfirah Faisal),Psikolog,Aceh,Jalan Taman Makam Pahlawan No.7,,0895-3411-74100,,,https://www.google.com/maps/place/Sanubari+Psikologi+%28Praktik+Psikolog+Cut+Maghfirah+Faisal%29/data=!4m7!3m6!1s0x3040370080388897:0xb06c39c6eb39761b!8m2!3d5.54758!4d95.3239798!16s%2Fg%2F11rcqrwdh9!19sChIJl4g4gAA3QDARG3Y568Y5bLA?authuser=0&hl=id&rclk=1,Psychologist,2
Psikodista Konsultan,Psikolog,Aceh,JL. T. Imum Luengbata. 22 - 24,,(0651) 26245,,,https://www.google.com/maps/place/Psikodista+Konsultan/data=!4m7!3m6!1s0x304039e28f339c69:0x671d8148f8c68b92!8m2!3d5.5437292!4d95.3361829!16s%2Fg%2F1pzsx9_ws!19sChIJaZwzj-I5QDARkovG-EiBHWc?authuser=0&hl=id&rclk=1,Psychologist,2
Praktek Psikolog Klinis Anak - Scandic Psycho Consulting,Psikoterapis,Aceh,"G9R4+8Q6, Jl. Peukan Blang 1",,0822-7557-3638,,,https://www.google.com/maps/place/Praktek+Psikolog+Klinis+Anak+-+Scandic+Psycho+Consulting/data=!4m7!3m6!1s0x30403700108278eb:0xbe59750b48886df!8m2!3d5.5386851!4d95.3523827!16s%2Fg%2F11v_2g8jl6!19sChIJ63iCEAA3QDAR34aItFCX5Qs?authuser=0&hl=id&rclk=1,Psychologist,2
Yayasan Praktek Psikolog Indonesia Cabang Aceh,Psikolog,Aceh,G7MX+58J,,,,,https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+Aceh/data=!4m7!3m6!1s0x30403bd296598891:0x9384579a66d223db!8m2!3d5.5328705!4d95.2977906!16s%2Fg%2F11pz7rbw21!19sChIJkYhZltI7QDAR2yPSZppXhJM?authuser=0&hl=id&rclk=1,Psychologist,2
"PRAKTEK PSIKOLOG Taifatul Jannah, M.Psi, Psikolog",Psikolog,Aceh,Jl. Ramai - Krueng Geukuh Lorong Aman No.9,,0823-1536-9077,,,"https://www.google.com/maps/place/PRAKTEK+PSIKOLOG+Taifatul+Jannah,+M.Psi,+Psikolog/data=!4m7!3m6!1s0x3047772d781c8435:0x3d66c860a05f1ba1!8m2!3d5.2389315!4d97.0246188!16s%2Fg%2F11w1w4w_wx!19sChIJNYQceC13RzARoRtfoGDIZj0?authuser=0&hl=id&rclk=1",Psychologist,2
Personal Space (Praktek Psikolog),Psikolog,Aceh,"G7MX+545, Jl. Cut Nyak Dhien",,0852-1860-4902,,,https://www.google.com/maps/place/Personal+Space+%28Praktek+Psikolog%29/data=!4m7!3m6!1s0x30403bf98bdf49c5:0x4ce43d859176b88b!8m2!3d5.5328779!4d95.2978526!16s%2Fg%2F11l6xmrhbh!19sChIJxUnfi_k7QDARi7h2kYU95Ew?authuser=0&hl=id&rclk=1,Psychologist,2
Sinergitas Psikologi Nusantara,Psikolog,Aceh,Jl. Teratai No.7a,,,,,https://www.google.com/maps/place/Sinergitas+Psikologi+Nusantara/data=!4m7!3m6!1s0x304037007982163b:0x723b230c3e8354d0!8m2!3d5.5582865!4d95.3172754!16s%2Fg%2F11mrgh7kc6!19sChIJOxaCeQA3QDAR0FSDPgwjO3I?authuser=0&hl=id&rclk=1,Psychologist,2
Praktek Psikolog Yasir M.Psi. Psikolog,Psikolog,Aceh,Jalan Simpang Perumnas,,0852-2683-9250,,,https://www.google.com/maps/place/Praktek+Psikolog+Yasir+M.Psi.+Psikolog/data=!4m7!3m6!1s0x30379b39300688d3:0xde86c91fe3b07116!8m2!3d4.4982146!4d97.9545117!16s%2Fg%2F11xnn107pl!19sChIJ04gGMDmbNzARFnGw4x_Jht4?authuser=0&hl=id&rclk=1,Psychologist,2
Serenity Konsultan Psikologi,Psikolog,Aceh,"72VX+QH Klinik Salwa, Jl. Medan - Banda Aceh",,0821-3533-2929,,,https://www.google.com/maps/place/Serenity+Konsultan+Psikologi/data=!4m7!3m6!1s0x3037750022ebc8ab:0xe7a83c9ae388a88d!8m2!3d4.2944928!4d98.0489061!16s%2Fg%2F11y54dp2fj!19sChIJq8jrIgB1NzARjaiI45o8qOc?authuser=0&hl=id&rclk=1,Psychologist,2
Nadiné Psychology Center (Praktik Psikolog Klinis),Psikolog,Aceh,Jl. Teuku Umar No.63 Lantai 1,,0822-8879-5604,,,https://www.google.com/maps/place/Nadin%C3%A9+Psychology+Center+%28Praktik+Psikolog+Klinis%29/data=!4m7!3m6!1s0x304037b8a7eeabcb:0xf2e7364b99ca6709!8m2!3d5.5422396!4d95.3121516!16s%2Fg%2F11xv1h_6ts!19sChIJy6vup7g3QDARCWfKmUs25_I?authuser=0&hl=id&rclk=1,Psychologist,2
Praktik Psikolog Edukasi Ceria,Psikolog,Aceh,Jl. Purnama Lr. T. Cut Ali No.288,,0813-7150-394,,,https://www.google.com/maps/place/Praktik+Psikolog+Edukasi+Ceria/data=!4m7!3m6!1s0x303ec359c2959e4f:0x3b06118f4fed4810!8m2!3d4.159922!4d96.1282997!16s%2Fg%2F11kq7t8gw6!19sChIJT56VwlnDPjAREEjtT48RBjs?authuser=0&hl=id&rclk=1,Psychologist,2
